"","I","IIA","IIB","III","IV","V"
"2017-02-14",21.8991584545806,24.658896948972,23.5119193244665,20.6242308300471,16.6426839268875,11.8509482335738
"2017-02-17",23.0568823482474,24.671288914754,24.3318453205288,23.9370556060622,22.6252615225589,20.672475509349
"2017-02-20",19.3996595221708,23.9829989522548,22.2432109600793,22.4112404817729,21.5733169839772,16.0485027153512
"2017-02-23",21.3264961662189,23.765569183553,23.1740484598383,24.0296468565908,22.9297692639177,18.0554331759513
"2017-02-26",24.8030943133048,24.5891950372375,24.6746250747042,24.6577517475241,23.696757959317,17.1858915378313
"2017-03-01",23.6714809981435,24.2087751139653,23.8354833620054,23.7013049873466,21.1853175868143,13.9095069638115
"2017-03-04",24.6188724639457,24.2848400368614,24.8771671160008,25.0618309762195,23.3927987300283,14.8466837553871
"2017-03-07",21.4380477225355,22.2412057930311,21.2341222427755,22.6840775016788,21.7364702873468,13.9515864110467
"2017-03-10",21.0223963820438,22.2259844240898,20.1808203856415,20.8802484663751,19.1838669084181,12.4685167388688
"2017-03-13",18.1373475623489,18.1949787583816,16.7045689608544,17.0702587390814,14.9481663184096,9.67117563915162
"2017-03-16",16.3614987213151,15.7929206172153,14.1507939115902,14.4401879096282,12.3695580198619,8.26841242059372
"2017-03-19",21.4494834223653,19.2661997526301,17.5822696847922,15.7708674529172,13.2151533517159,9.19645662799964
