"District","Year","Month","AverageEVI","MaxEVI","MinEVI","MedianEVI"
"Chegutu","2012","09",0.158722454009618,0.183304036033975,0.0942536099498292,0.158226783681626
"Chikomba","2012","09",0.163123981301662,0.194482451497394,0.104693626077771,0.162901874678193
"Chimanimani","2012","09",0.196903406532553,0.254332684499359,0.0283089094519632,0.200932615738327
"Chipinge","2012","09",0.146416649725162,0.193901365553144,0.0493245648101954,0.154005960773739
"Chiredzi","2012","09",0.125018355499161,0.181231094720093,0.0333904297970072,0.136175850250661
"Chirumhanzu","2012","09",0.168836943748558,0.194862389759784,0.131859600137927,0.1693255578023
"Chivi","2012","09",0.134739092689977,0.179870339920775,0.0469228949450997,0.141643379469979
"Gokwe North","2012","09",0.164214793067151,0.187167544740236,0.101155184577627,0.172143007036091
"Gokwe South","2012","09",0.176108136376966,0.199682353529513,0.133696918122789,0.179776763043464
"Goromonzi","2012","09",0.173560062585383,0.205850010519337,0.114863848210024,0.173185122604446
"Guruve","2012","09",0.168734380790713,0.194305213624211,0.13547373091159,0.173301005211947
"Gutu","2012","09",0.160975521936038,0.188420793684557,0.0690867192789873,0.164495750022923
"Gwanda","2012","09",0.128487531085207,0.165765401534025,0.0456796386192065,0.138075259324215
"Gweru","2012","09",0.158219549541846,0.184444996571794,0.109967680023553,0.16051863090159
"Harare","2012","09",0.170503163372144,0.208971582884674,0.0952774719644183,0.169991893234277
"Hurungwe","2012","09",0.1592614003674,0.182994503876947,0.114016067220077,0.166023433572199
"Hwange","2012","09",0.168332939625729,0.188779767143245,0.105540132720905,0.173647363057344
"Insiza","2012","09",0.14217002491532,0.173986814930614,0.070549312687601,0.144633775136901
"Kadoma","2012","09",0.157105515842046,0.185325379067834,0.0819603153235366,0.165813802478525
"Kariba","2012","09",0.123501453027213,0.145842800787385,0.084140338212717,0.128132329490618
"Kwekwe","2012","09",0.160984264159835,0.185204408393513,0.125133116000413,0.166810793542021
"Lupane","2012","09",0.182262176138096,0.204907252423669,0.137514287446468,0.186411731330514
"Makonde","2012","09",0.159787085500516,0.18645494850048,0.099215466270986,0.165594665247211
"Makoni","2012","09",0.168088438412017,0.197636318608969,0.0954269374779272,0.170372277080517
"Mangwe (South)","2012","09",0.150662488134155,0.175429545569277,0.088612356403198,0.151799448866093
"Marondera","2012","09",0.172198618785488,0.20584661596259,0.103000257885964,0.173415615182277
"Masvingo","2012","09",0.142234499748604,0.190002386757337,0.0451693544247827,0.150136434438093
"Matobo","2012","09",0.13900512648526,0.170368117481438,0.0663742274843547,0.140328651390841
"Mazowe","2012","09",0.163036831801823,0.196013008340781,0.134470875467874,0.162847311418369
"Mberengwa","2012","09",0.133388898163823,0.182446782716724,0.0407337234755595,0.142619240417915
"Mount Darwin","2012","09",0.156637391564077,0.183164329620155,0.0909703263286656,0.161386112192565
"Mudzi","2012","09",0.152933657514362,0.182420857274376,0.0935121947682654,0.158569480326502
