"District","Type","Year","NDVI"
"Zaka","Average","May",0.487174733096774
"Chegutu","Average","May",0.463560258548387
"Hurungwe","Average","May",0.501291258290323
"Kadoma","Average","May",0.483524345290323
"Kariba","Average","May",0.345483809387097
"Makonde","Average","May",0.541680463548387
"Zvimba","Average","May",0.492231176709677
"Harare","Average","Jun",0.396841890666667
"Bulawayo","Average","Jun",0.370053677533333
"Buhera","Average","Jun",0.295869494466667
"Chimanimani","Average","Jun",0.5743270081
"Chipinge","Average","Jun",0.452812070866667
"Makoni","Average","Jun",0.406701919733333
"Mutare","Average","Jun",0.4120550525
"Mutasa","Average","Jun",0.5865085383
"Nyanga","Average","Jun",0.4863102924
"Bindura","Average","Jun",0.461126391666667
"Guruve","Average","Jun",0.432250345366667
"Mount Darwin","Average","Jun",0.408235001566667
"Mazowe","Average","Jun",0.436754446933333
"Centenary","Average","Jun",0.4275573475
"Rushinga","Average","Jun",0.4105722005
"Shamva","Average","Jun",0.482358372533333
"Chikomba","Average","Jun",0.3774771209
"Goromonzi","Average","Jun",0.433276337266667
"Marondera","Average","Jun",0.4116322587
"Mudzi","Average","Jun",0.376347877433333
"Mutoko","Average","Jun",0.402579815533333
"Murehwa","Average","Jun",0.427098887233333
"UMP","Average","Jun",0.407775957366667
"Seke","Average","Jun",0.3766292266
"Wedza","Average","Jun",0.406396614233333
"Chirumhanzu","Average","Jun",0.3865752632
"Gokwe North","Average","Jun",0.410520780133333
"Gokwe South","Average","Jun",0.4138618795
"Gweru","Average","Jun",0.3943266067
"Kwekwe","Average","Jun",0.430804553966667
"Mberengwa","Average","Jun",0.393318855433333
"Shurugwi","Average","Jun",0.402589572766667
"Zvishavane","Average","Jun",0.3780721772
"Binga","Average","Jun",0.370265869333333
"Bubi","Average","Jun",0.427895429366667
"Hwange","Average","Jun",0.398073277733333
"Lupane","Average","Jun",0.4504790827
"Nkayi","Average","Jun",0.442155304433333
"Tsholotsho","Average","Jun",0.4064275363
"Umguza","Average","Jun",0.440052429466667
"Beitbridge","Average","Jun",0.319575190866667
"Bulilima (North)","Average","Jun",0.3821469305
"Gwanda","Average","Jun",0.3449458775
"Insiza","Average","Jun",0.3811966672
"Mangwe (South)","Average","Jun",0.368650519633333
"Matobo","Average","Jun",0.3635371562
"Umzingwane","Average","Jun",0.4017677306
"Bikita","Average","Jun",0.3848922817
