district_id,district_name,year,yeard,h_k3,a_k3,m0_k3,m1_k3,m2_k3,g0_edu_max_k3,g1_edu_max_k3,g2_edu_max_k3,g0_edu_dropout_k3,g1_edu_dropout_k3,g2_edu_dropout_k3,g0_hea_chronic_k3,g1_hea_chronic_k3,g2_hea_chronic_k3,g0_hea_visit_k3,g1_hea_visit_k3,g2_hea_visit_k3,g0_employment_k3,g0_assets_k3,g1_assets_k3,g2_assets_k3,g0_services_k3,g1_services_k3,g2_services_k3,g0_electricity_k3,g0_cooking_fuel_k3,g0_water_k3,g0_toilet_k3,g0_land_k3,g0_livestock_k3,g0_rural_equip_k3,maxevi,surfacemoisture,rainnovdec,rainnovjan,rainnovfeb,rainnovmar,rainnovapr,rainnovmay,sum10_20,sum10_20_novdec,sum10_20_novjan,sum10_20_novfeb,sum20p,sum20p_novdec,sum20p_novjan,sum20p_novfeb,dryspells
18,Gokwe South,2017,1,0.7762182,0.4631786,0.3595276,0.1990438,0.1476626,0.1981241,0.0990621,0.0330207,0.0139822,0.0120054,0.0102118,0.4082624,0.2041312,0.2041312,0.1874995,0.0937497,0.0937497,0,0.6471846,0.4531299,0.3561025,0.7243379,0.3644223,0.1666126,0.2300444,0.3840271,0.2417207,0.2307515,0.0389267,0,0.1106515,0.4968709,15.97827,1.891654,4.871479,6.525015,7.683824,8.150812,8.152761,3,1,1,1,1,0,0,0,4
19,Goromonzi,2011,0,0.5746849,0.4811852,0.2765299,0.157932,0.1317932,0.2203078,0.1273294,0.0580141,0.0195086,0.0265794,0.0260427,0.3895135,0.1947567,0.1947567,0.2192335,0.1096167,0.1096167,0.0127735,0.4345289,0.3328867,0.2820656,0.2280868,0.0860182,0.0281274,0.1947371,0.2529228,0.1038097,0.0773657,0.1788528,0,0.2953935,0.5018172,,2.270533,5.067036,6.779958,7.524747,8.02184,8.036292,1,0,0,1,2,0,0,0,3
19,Goromonzi,2017,1,0.5595052,0.4668121,0.2611838,0.1381408,0.1157334,0.0644677,0.0322338,0.0107446,0.0170736,0.0205903,0.0185822,0.3600302,0.1800151,0.1800151,0.266343,0.1331715,0.1331715,0.0448249,0.4773304,0.3719047,0.3191918,0.3812465,0.1368397,0.041712,0.1964848,0.2198552,0.0768409,0.0635897,0.0212001,0,0.2919592,0.5100578,17.90042,2.562198,6.105045,7.900109,9.145003,9.791385,9.824808,2,0,0,0,1,0,0,0,3
20,Guruve,2011,0,0.5186676,0.4469255,0.2318058,0.1267812,0.1032747,0.1743712,0.1016071,0.0471294,0.007713,0.0092556,0.0074045,0.3492435,0.1746217,0.1746217,0.1926733,0.0963366,0.0963366,0,0.3917825,0.2917666,0.2417586,0.2182961,0.0927112,0.0358036,0.2093768,0.2584269,0.1156048,0.1207069,0.032733,0,0.131227,0.5341861,,2.524701,5.035715,5.738911,6.629379,6.792049,6.795173,0,0,0,0,1,0,0,0,1
20,Guruve,2017,1,0.7633699,0.4732843,0.361291,0.202165,0.1598229,0.2232179,0.1133369,0.0395069,0.0146117,0.0137972,0.0105723,0.4758746,0.2379373,0.2379373,0.1455905,0.0727952,0.0727952,0,0.6748157,0.530701,0.4586436,0.6349627,0.3105001,0.137478,0.2396867,0.3805678,0.1746029,0.1318816,0.045181,0,0.2912716,0.5334868,16.53321,2.069669,4.920368,6.91473,8.109364,8.455391,8.457922,1,0,0,0,1,0,0,0,2
21,Gutu,2011,0,0.5855471,0.4706459,0.2755854,0.1578958,0.128468,0.2056859,0.1142899,0.0490893,0.0346459,0.0447117,0.039369,0.4060429,0.2030215,0.2030215,0.2236677,0.1118339,0.1118339,0,0.5155467,0.4308836,0.388552,0.2014094,0.0970796,0.044893,0.2294667,0.2927736,0.2117596,0.1680822,0.0134941,0,0.1154865,0.424356,,1.938168,4.845187,5.034023,5.356042,5.66809,5.677162,1,0,0,0,3,0,0,1,4
21,Gutu,2017,1,0.766768,0.453156,0.3474655,0.2020037,0.1623997,0.1917951,0.0958975,0.0319658,0.0127044,0.0130127,0.0090706,0.4150037,0.2075019,0.2075019,0.0986181,0.049309,0.049309,0,0.7041976,0.5946398,0.5398608,0.5902783,0.2193026,0.0700137,0.2814395,0.372874,0.1888378,0.1629483,0.1564927,0,0.1257325,0.4723184,15.39498,2.168599,4.358078,6.240476,6.976923,7.606566,7.621902,0,0,0,0,2,0,0,0,2
22,Gwanda,2011,0,0.5807342,0.468004,0.2717859,0.162497,0.1314272,0.177456,0.0972986,0.0381466,0.0195107,0.0259382,0.0249536,0.3735033,0.1867516,0.1867516,0.1908453,0.0954226,0.0954226,0.0298027,0.4405264,0.3372835,0.2856621,0.3878641,0.2022424,0.1005106,0.249795,0.2831846,0.1993161,0.2068522,0,0,0.02331,0.5018577,,1.631014,3.355303,3.524045,3.759922,4.305869,4.371611,2,0,0,0,3,0,0,1,5
22,Gwanda,2017,1,0.6641786,0.4616343,0.3066076,0.1852424,0.1506692,0.1505268,0.0752634,0.0250878,0.017154,0.0193007,0.0151854,0.4507799,0.22539,0.22539,0.1721307,0.0860654,0.0860654,0.0060673,0.6097994,0.4841769,0.4213657,0.5671495,0.4120117,0.2602902,0.305245,0.3067673,0.1427291,0.1107656,0.0044749,0,0.0691827,0.5170912,9.321392,0.9777246,3.180669,4.626042,4.864128,5.339383,5.339383,2,1,2,2,2,0,0,0,4
23,Gweru,2011,0,0.3089005,0.4533149,0.1400292,0.0754458,0.0639969,0.1144652,0.0630174,0.0259711,0.0219345,0.0213002,0.0164795,0.358781,0.1793905,0.1793905,0.18633,0.093165,0.093165,0.0051304,0.1998674,0.1571504,0.1357919,0.0785283,0.0213312,0.0041216,0.0935199,0.0968565,0.0287085,0.0672434,0.0160704,0,0.0628422,0.4648133,,2.118575,5.778108,6.090906,6.653584,7.093472,7.171863,3,0,0,0,2,0,0,1,5
