"District","Year","AverageEVI","MaxEVI","MinEVI","MedianEVI"
"Binga","2018",0.230559787629605,0.444834353422381,-0.236597921062731,0.212331248761563
"Binga","2019",0.230035427890332,0.512830011929344,-0.212398780667594,0.208044767535272
"Binga","2020",0.224298273041349,0.47535769091886,-0.300352697491095,0.206033396768987
"Binga","2021",0.231842955788285,0.487209027697369,-0.0548684388329878,0.214965326254891
"Bubi","2005",0.203633158471757,0.427680591106059,-0.100085830801075,0.18437429030224
"Bubi","2006",0.249646254705937,0.524894077881991,-0.0320882613074935,0.232904231202807
"Bubi","2007",0.207138633946836,0.47994424713866,-0.0432353361641383,0.181196594376622
"Bubi","2008",0.228959032747419,0.520811523164367,-0.138101042318074,0.208261897185126
"Bubi","2009",0.235668304170346,0.529236793863236,-0.183075109625064,0.225575109925276
"Bubi","2010",0.224463307704943,0.481638697872712,-0.0939540242557502,0.20163141509548
