"District","YearBegin","MonthBegin","DayBegin","YearEnd","MonthEnd","DayEnd","SoilMoisture"
"Mwenezi","2015","05","11","2015","05","13",2.44644223862899
"Zaka","2015","05","11","2015","05","13",3.15819695587537
"Chegutu","2015","05","11","2015","05","13",8.6729114740869
"Hurungwe","2015","05","11","2015","05","13",6.04906211325148
"Kadoma","2015","05","11","2015","05","13",6.28352856942529
"Kariba","2015","05","11","2015","05","13",11.85414757065
"Makonde","2015","05","11","2015","05","13",6.10392117306605
"Zvimba","2015","05","11","2015","05","13",7.72457784599849
"Harare","2015","05","14","2015","05","16",11.4718995570642
"Bulawayo","2015","05","14","2015","05","16",2.78107230471479
"Buhera","2015","05","14","2015","05","16",4.88134129037986
"Chimanimani","2015","05","14","2015","05","16",8.59294609863528
"Chipinge","2015","05","14","2015","05","16",4.35394009834541
"Makoni","2015","05","14","2015","05","16",7.49875991426244
"Mutare","2015","05","14","2015","05","16",4.74138148894023
"Mutasa","2015","05","14","2015","05","16",6.57038100857577
"Nyanga","2015","05","14","2015","05","16",6.51710676848256
"Bindura","2015","05","14","2015","05","16",5.20939726092948
"Guruve","2015","05","14","2015","05","16",4.29604779634951
"Mount Darwin","2015","05","14","2015","05","16",3.8527945830148
"Mazowe","2015","05","14","2015","05","16",7.18400423524425
"Centenary","2015","05","14","2015","05","16",5.49461606583351
"Rushinga","2015","05","14","2015","05","16",2.88384655877731
"Shamva","2015","05","14","2015","05","16",4.04126543507606
"Chikomba","2015","05","14","2015","05","16",7.32653483736114
"Goromonzi","2015","05","14","2015","05","16",7.6347233987383
"Marondera","2015","05","14","2015","05","16",9.69161865572374
"Mudzi","2015","05","14","2015","05","16",2.94830820354013
"Mutoko","2015","05","14","2015","05","16",2.89099705451654
"Murehwa","2015","05","14","2015","05","16",6.31666147703171
"UMP","2015","05","14","2015","05","16",3.06707546767004
"Seke","2015","05","14","2015","05","16",9.18635844729013
"Wedza","2015","05","14","2015","05","16",6.73977702771174
"Chirumhanzu","2015","05","14","2015","05","16",4.35734135582285
"Gokwe North","2015","05","14","2015","05","16",4.00325568291663
"Gokwe South","2015","05","14","2015","05","16",4.10344315924415
"Gweru","2015","05","14","2015","05","16",3.99523442074122
"Kwekwe","2015","05","14","2015","05","16",3.36191094117037
"Mberengwa","2015","05","14","2015","05","16",2.58509938990107
"Shurugwi","2015","05","14","2015","05","16",4.13899301672445
"Zvishavane","2015","05","14","2015","05","16",2.75838733867538
"Binga","2015","05","14","2015","05","16",4.91055395812331
"Bubi","2015","05","14","2015","05","16",2.913683045478
"Hwange","2015","05","14","2015","05","16",2.97966222243896
"Lupane","2015","05","14","2015","05","16",2.9267956450986
"Nkayi","2015","05","14","2015","05","16",2.83597179847194
"Tsholotsho","2015","05","14","2015","05","16",2.47366020839564
"Umguza","2015","05","14","2015","05","16",2.7012849927861
"Beitbridge","2015","05","14","2015","05","16",2.25508805814807
"Bulilima (North)","2015","05","14","2015","05","16",2.40043488949426
"Gwanda","2015","05","14","2015","05","16",2.55608944135552
"Insiza","2015","05","14","2015","05","16",3.46465564583869
"Mangwe (South)","2015","05","14","2015","05","16",2.41378603087816
"Matobo","2015","05","14","2015","05","16",2.73562497500663
"Umzingwane","2015","05","14","2015","05","16",3.21807605435423
"Bikita","2015","05","14","2015","05","16",3.09082169773401
"Chiredzi","2015","05","14","2015","05","16",2.38973116796398
"Chivi","2015","05","14","2015","05","16",2.47473203581732
"Gutu","2015","05","14","2015","05","16",4.70578918102184
"Masvingo","2015","05","14","2015","05","16",2.82441838333227
"Mwenezi","2015","05","14","2015","05","16",2.38333955288918
"Zaka","2015","05","14","2015","05","16",2.83771864133024
"Chegutu","2015","05","14","2015","05","16",7.76370329143443
"Hurungwe","2015","05","14","2015","05","16",5.42744780058537
"Kadoma","2015","05","14","2015","05","16",5.49518555150842
"Kariba","2015","05","14","2015","05","16",11.1338695709735
"Makonde","2015","05","14","2015","05","16",5.34537671627199
"Zvimba","2015","05","14","2015","05","16",6.79840529758996
"Harare","2015","05","17","2015","05","19",10.6372033869577
"Bulawayo","2015","05","17","2015","05","19",2.74017664909744
"Buhera","2015","05","17","2015","05","19",4.27627595237633
"Chimanimani","2015","05","17","2015","05","19",8.04295128247171
"Chipinge","2015","05","17","2015","05","19",4.13735251749269
"Makoni","2015","05","17","2015","05","19",6.65727781199084
"Mutare","2015","05","17","2015","05","19",4.2474880797166
"Mutasa","2015","05","17","2015","05","19",5.9475984745438
"Nyanga","2015","05","17","2015","05","19",6.13829384225462
"Bindura","2015","05","17","2015","05","19",4.72979777860731
"Guruve","2015","05","17","2015","05","19",3.91072901647782
"Mount Darwin","2015","05","17","2015","05","19",3.54842605281938
"Mazowe","2015","05","17","2015","05","19",6.28716398096097
"Centenary","2015","05","17","2015","05","19",4.95212223423355
"Rushinga","2015","05","17","2015","05","19",2.81800434595248
"Shamva","2015","05","17","2015","05","19",3.77391776983808
"Chikomba","2015","05","17","2015","05","19",6.40767964469626
"Goromonzi","2015","05","17","2015","05","19",6.57381458492069
"Marondera","2015","05","17","2015","05","19",8.55984266738876
"Mudzi","2015","05","17","2015","05","19",2.95718503585956
"Mutoko","2015","05","17","2015","05","19",2.81687298937482
"Murehwa","2015","05","17","2015","05","19",5.478747735672
"UMP","2015","05","17","2015","05","19",3.00715734910118
"Seke","2015","05","17","2015","05","19",8.20807444221444
"Wedza","2015","05","17","2015","05","19",5.95339404098442
"Chirumhanzu","2015","05","17","2015","05","19",3.76569587596928
"Gokwe North","2015","05","17","2015","05","19",3.48546416003251
"Gokwe South","2015","05","17","2015","05","19",3.66776171166523
"Gweru","2015","05","17","2015","05","19",3.54984238217364
