"","District","YearBegin","MonthBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture","group"
"66","Centenary",2016,"11",21.2371805316242,54.1323875558095,13.3382880284876,"B"
"67","Centenary",2016,"12",108.956729173442,148.015592210637,44.7370671868293,"C"
"68","Centenary",2017,"01",149.043595294666,149.134681385247,148.801118628332,"D"
"69","Centenary",2017,"02",148.288865624497,149.122710329784,145.573565328066,"E"
"70","Centenary",2017,"03",137.138135719967,149.10093962342,120.436501434471,"F"
"71","Centenary",2017,"04",85.2488975801492,107.572602727662,73.464680661234,"G"
"72","Centenary",2017,"05",48.0230170576392,67.5864453512761,32.9513677378184,"H"
"73","Chegutu",2016,"10",12.6473160206358,12.869461665664,12.3850456676271,"A"
"74","Chegutu",2016,"11",25.4000343154297,55.1172739333527,13.0863977694474,"B"
"75","Chegutu",2016,"12",97.9689084494388,141.243067223626,51.0027042496483,"C"
"76","Chegutu",2017,"01",141.248027754543,141.396757662732,140.995195464605,"D"
"77","Chegutu",2017,"02",139.411142749068,141.511510579434,132.652617895497,"E"
"78","Chegutu",2017,"03",110.538418297704,140.987534705547,74.9914219713593,"F"
"79","Chegutu",2017,"04",52.7624047521845,65.5403928882187,46.1590303381548,"G"
"80","Chegutu",2017,"05",36.5582372760062,51.6844070302536,23.6497877575905,"H"
"81","Chikomba",2016,"10",11.2408639015246,12.4900865008584,10.646860148137,"A"
"82","Chikomba",2016,"11",24.3608626900931,53.8013943032135,10.6930431417945,"B"
"83","Chikomba",2016,"12",83.9409464049327,114.288087128287,39.1806219614662,"C"
"84","Chikomba",2017,"01",115.81931657115,116.399442205537,114.486916679153,"D"
"85","Chikomba",2017,"02",111.377392281372,116.236917659256,101.603417799531,"E"
"86","Chikomba",2017,"03",92.139920691473,116.301837501586,61.0920133929317,"F"
"87","Chikomba",2017,"04",39.9945609439804,52.3045950449969,33.9056700479386,"G"
"88","Chikomba",2017,"05",26.6543137919178,37.9387215291712,17.6203688317497,"H"
"89","Chimanimani",2016,"10",15.6855336515521,18.2331695988509,13.5966910737541,"A"
"90","Chimanimani",2016,"11",40.9932325048391,66.13480971972,12.9062089726812,"B"
"91","Chimanimani",2016,"12",98.8027268192026,131.070280779526,50.8537028388682,"C"
"92","Chimanimani",2017,"01",144.453430747431,151.269222343466,128.124432806562,"D"
"93","Chimanimani",2017,"02",134.796114800113,144.811570564169,123.580607489506,"E"
"94","Chimanimani",2017,"03",133.077265739011,147.552259474492,114.107289995572,"F"
"95","Chimanimani",2017,"04",90.1460164700272,105.643658637393,81.2226467209122,"G"
"96","Chimanimani",2017,"05",64.6959522840843,84.1425184030829,48.4141397831775,"H"
"97","Chipinge",2016,"10",13.441768376277,13.8427558136657,12.8159740765079,"A"
"98","Chipinge",2016,"11",32.5809756911427,59.8338626576854,12.7957224488311,"B"
"99","Chipinge",2016,"12",96.200243544309,147.719784556093,40.8479969139015,"C"
"100","Chipinge",2017,"01",147.107331141436,154.269163916016,135.009807669235,"D"
"101","Chipinge",2017,"02",127.594691482235,144.522551524269,112.94060809353,"E"
"102","Chipinge",2017,"03",125.650162674118,136.980167795035,105.649000771659,"F"
"103","Chipinge",2017,"04",78.1503503900717,94.8313432302622,67.4349584802649,"G"
"104","Chipinge",2017,"05",59.2082122382162,80.7332053344726,41.022953405527,"H"
"105","Chiredzi",2016,"10",14.329573741747,14.6928022245061,13.8616749546248,"A"
"106","Chiredzi",2016,"11",17.4144696883068,30.6865075169509,13.4563214667324,"B"
"107","Chiredzi",2016,"12",60.5734560012886,99.714391957542,18.1013235045775,"C"
"108","Chiredzi",2017,"01",106.467712501233,135.320155196363,78.7752039390628,"D"
"109","Chiredzi",2017,"02",91.9472090089768,108.979971188228,70.6185620180152,"E"
"110","Chiredzi",2017,"03",69.5482989087221,91.654782288115,45.692019311896,"F"
"111","Chiredzi",2017,"04",35.1837608465673,43.6205644494945,27.5460772685535,"G"
"112","Chiredzi",2017,"05",35.2387649831635,47.6426374310328,23.9695237061502,"H"
"113","Chirumhanzu",2016,"10",11.4369954713601,13.5397321056298,10.4661052477167,"A"
"114","Chirumhanzu",2016,"11",21.7990511719268,47.7490754630959,10.6357247000376,"B"
"115","Chirumhanzu",2016,"12",73.0746613333673,109.729284135434,33.6368293632691,"C"
"116","Chirumhanzu",2017,"01",114.045143377951,115.326495515765,111.732260071589,"D"
"117","Chirumhanzu",2017,"02",107.926473485726,115.27116936738,95.0257103191696,"E"
"118","Chirumhanzu",2017,"03",90.9371285696631,115.313432713393,57.2384753468122,"F"
"119","Chirumhanzu",2017,"04",41.9207921195243,51.053160452806,33.6159256720729,"G"
"120","Chirumhanzu",2017,"05",31.2458219396737,47.5387057657742,18.95066235753,"H"
"121","Chivi",2016,"10",13.4052160716581,14.998454110956,12.3602627751419,"A"
"122","Chivi",2016,"11",18.1300794510386,42.0175031460064,12.1923759274838,"B"
"123","Chivi",2016,"12",78.7113511836272,125.180392323908,20.9913698195774,"C"
"124","Chivi",2017,"01",119.541880912704,127.835202483394,110.392303747393,"D"
"125","Chivi",2017,"02",118.552364635731,128.87416553223,88.8471415789925,"E"
"126","Chivi",2017,"03",105.000981673476,127.55984417555,70.9765560246846,"F"
"127","Chivi",2017,"04",45.1027545961874,60.5085636047899,35.203503990384,"G"
"128","Chivi",2017,"05",34.8375560676302,50.725477403504,23.0889284244817,"H"
"129","Gokwe North",2016,"10",8.94903406024202,9.26471621153462,8.72221500623168,"A"
"130","Gokwe North",2016,"11",16.1211798288502,33.004284113614,9.24367883551694,"B"
"131","Gokwe North",2016,"12",52.1833792687105,76.5723840185984,24.2715190685499,"C"
"132","Gokwe North",2017,"01",99.0490106673285,103.787508672376,81.0247240441404,"D"
"133","Gokwe North",2017,"02",101.852189754347,103.663657137375,99.3201175668166,"E"
"134","Gokwe North",2017,"03",83.3927893501899,103.744596237221,57.4352496685006,"F"
"135","Gokwe North",2017,"04",38.8317915525094,47.8892931687293,30.9041730880089,"G"
"136","Gokwe North",2017,"05",21.6278379576585,34.5849921167819,14.3832193801031,"H"
"137","Gokwe South",2016,"10",9.00859218415033,9.343599506895,8.73763926051908,"A"
"138","Gokwe South",2016,"11",17.3573187531387,44.9974227934906,9.31514909402447,"B"
"139","Gokwe South",2016,"12",53.0166683053013,76.1573500530958,27.9140444970155,"C"
"140","Gokwe South",2017,"01",89.9392960386056,92.0090730485492,82.4811749209778,"D"
"141","Gokwe South",2017,"02",89.6298034961803,91.836225195342,84.480228356442,"E"
"142","Gokwe South",2017,"03",73.0399082834986,92.0097061433801,50.9575000572037,"F"
"143","Gokwe South",2017,"04",38.4501857630784,43.7164951509908,27.5156805459648,"G"
"144","Gokwe South",2017,"05",21.9734033745298,37.2626007488728,13.212262384365,"H"
"145","Goromonzi",2016,"10",12.5137287517526,14.0144015342214,11.7897749325132,"A"
"146","Goromonzi",2016,"11",26.9187777703371,65.4528831484775,12.4359902764681,"B"
"147","Goromonzi",2016,"12",96.9428007226584,122.492207939218,51.744410366798,"C"
"148","Goromonzi",2017,"01",122.422314560297,122.646797002265,121.57280964275,"D"
"149","Goromonzi",2017,"02",121.730247343458,122.593382028433,119.622271076557,"E"
"150","Goromonzi",2017,"03",102.059496301082,121.625833982772,83.4847373820301,"F"
"151","Goromonzi",2017,"04",63.0063411991164,72.5139332815885,50.0962414934595,"G"
"152","Goromonzi",2017,"05",46.6483066192218,61.603860481022,32.9969706093583,"H"
"153","Guruve",2016,"10",12.4681248324837,13.0433582059028,12.1349192048335,"A"
"154","Guruve",2016,"11",17.1139929441444,39.981288741123,12.1082524587511,"B"
"155","Guruve",2016,"12",87.8963402061837,130.091251032881,36.397444469038,"C"
"156","Guruve",2017,"01",138.726431556119,141.193384885707,127.944671162473,"D"
"157","Guruve",2017,"02",139.774336734542,140.831474933167,138.454472133934,"E"
"158","Guruve",2017,"03",127.643321164951,140.751880308289,107.630656425793,"F"
"159","Guruve",2017,"04",70.9451495977077,95.4606309296503,56.7534637312328,"G"
"160","Guruve",2017,"05",35.8495634899221,52.1921956505767,23.5718962722769,"H"
"161","Gutu",2016,"10",11.136076077652,16.8485370004486,8.51276992916192,"A"
"162","Gutu",2016,"11",20.1080928214748,43.7466529456673,8.48155551197278,"B"
"163","Gutu",2016,"12",61.9349953116482,89.2177028888789,23.2472792621506,"C"
"164","Gutu",2017,"01",86.403310622588,89.2552931244015,82.5048450896182,"D"
"165","Gutu",2017,"02",80.0978958551141,89.2699429318251,65.7334094563173,"E"
"166","Gutu",2017,"03",68.1015248866459,89.3428999448615,40.7579577943806,"F"
"167","Gutu",2017,"04",29.6708737635388,41.2049758561168,20.8310944037729,"G"
"168","Gutu",2017,"05",25.1009842096246,38.0825153040024,15.3255508483526,"H"
"169","Gwanda",2016,"10",13.8255146516039,17.0530877498895,12.2679106086304,"A"
"170","Gwanda",2016,"11",15.7624757110432,22.6376681667244,12.352985854575,"B"
"171","Gwanda",2016,"12",41.8400871219741,82.7034867172798,15.7771032561822,"C"
"172","Gwanda",2017,"01",77.2195332913247,84.526816105297,70.6417351615199,"D"
"173","Gwanda",2017,"02",84.82257933788,106.42362791442,54.496746457615,"E"
"174","Gwanda",2017,"03",61.8993682895971,97.6882827015297,29.8234277058135,"F"
"175","Gwanda",2017,"04",21.1225981043366,25.4747228866249,17.3798589854906,"G"
"176","Gwanda",2017,"05",18.548264046609,26.1642940480265,13.8868631145632,"H"
"177","Gweru",2016,"10",11.6162274613671,13.9490049245037,10.5839534568602,"A"
"178","Gweru",2016,"11",22.8176288438749,48.3673992392265,10.7307591775556,"B"
"179","Gweru",2016,"12",63.1384428544014,101.531564906845,29.1618155602813,"C"
"180","Gweru",2017,"01",110.834479804154,113.244293777342,106.946579994042,"D"
"181","Gweru",2017,"02",107.87331208463,113.209617921918,95.6540681139236,"E"
"182","Gweru",2017,"03",87.5870435679739,113.211852951033,53.36662583973,"F"
"183","Gweru",2017,"04",42.5975041786016,53.9849093738881,30.6222012673266,"G"
"184","Gweru",2017,"05",31.3534051062156,48.6004433499161,18.3914150272763,"H"
"185","Harare",2016,"10",15.5237739738092,16.5882076182306,14.7506052067666,"A"
"186","Harare",2016,"11",26.5797327153712,60.4660822290603,14.7269748566062,"B"
"187","Harare",2016,"12",113.386811678385,153.222049018258,54.3010241785485,"C"
"188","Harare",2017,"01",153.007759235113,153.220468755382,152.133483921542,"D"
"189","Harare",2017,"02",152.586038154718,153.187226095239,150.374976617964,"E"
"190","Harare",2017,"03",134.479455700662,152.62619210081,115.096181629703,"F"
"191","Harare",2017,"04",92.9707996559539,106.248717357905,84.2320060666666,"G"
"192","Harare",2017,"05",63.3939881361174,80.8214309680511,47.7778875623996,"H"
"193","Hurungwe",2016,"10",11.9235462052267,12.318502826207,11.7333978700078,"A"
"194","Hurungwe",2016,"11",21.5222449643168,51.7628174216178,11.7092265425921,"B"
"195","Hurungwe",2016,"12",78.0554273171451,107.328135464171,47.5832162393992,"C"
"196","Hurungwe",2017,"01",124.233060859901,133.1197668273,102.534948570289,"D"
"197","Hurungwe",2017,"02",127.943557329386,129.253678602422,126.691812897677,"E"
"198","Hurungwe",2017,"03",118.427775764505,129.53510917243,101.893745464614,"F"
"199","Hurungwe",2017,"04",71.5950014525194,92.2863504221566,58.9834096956393,"G"
"200","Hurungwe",2017,"05",38.7343689400256,55.494500721701,26.4859755066491,"H"
"201","Hwange",2016,"10",9.50611684669078,9.76994815041236,9.36520413561569,"A"
"202","Hwange",2016,"11",11.9482043357723,18.4228019744762,9.48554772532935,"B"
"203","Hwange",2016,"12",37.1675765385582,61.8686626317218,11.7776735516832,"C"
"204","Hwange",2017,"01",83.8951880880075,91.3884312125078,65.2807305278062,"D"
"205","Hwange",2017,"02",84.8945230703372,96.1158471527337,71.8632043185828,"E"
"206","Hwange",2017,"03",72.7271084764041,97.7531594232441,42.0890958110323,"F"
"207","Hwange",2017,"04",30.7385824179523,36.3968816955479,26.6680942118232,"G"
"208","Hwange",2017,"05",15.9153503680572,24.0089624312815,11.3782184677278,"H"
"209","Insiza",2016,"10",12.9226743048023,15.3102926521816,11.7537412786328,"A"
"210","Insiza",2016,"11",18.8678342885927,38.0658920994942,11.6582611680493,"B"
"211","Insiza",2016,"12",63.8436354439732,108.612982685683,21.622100314194,"C"
"212","Insiza",2017,"01",117.638684845206,125.222274443119,107.239821391016,"D"
"213","Insiza",2017,"02",119.185758530675,126.624795137838,97.3582815898857,"E"
"214","Insiza",2017,"03",100.754659359445,124.503768944165,66.6152675022684,"F"
"215","Insiza",2017,"04",51.4953236790921,58.6559131451953,38.8840931900081,"G"
"216","Insiza",2017,"05",36.1970602838616,55.0647400676606,21.4977385694762,"H"
"217","Kadoma",2016,"10",11.5672159504443,11.8750248070211,11.316515391446,"A"
"218","Kadoma",2016,"11",18.305874089553,39.0995399222227,11.6205864968378,"B"
"219","Kadoma",2016,"12",66.004607472578,113.634352137138,34.7112292360722,"C"
"220","Kadoma",2017,"01",123.528137138368,124.564774379696,119.879483427498,"D"
"221","Kadoma",2017,"02",120.336452509403,124.543734323076,112.441975495626,"E"
"222","Kadoma",2017,"03",95.8528731880681,124.119802091543,62.6745701341199,"F"
"223","Kadoma",2017,"04",44.1456579680589,53.4858632010386,35.0600635696162,"G"
"224","Kadoma",2017,"05",30.1312692544418,46.2596104273016,17.8314266801962,"H"
"225","Kariba",2016,"10",13.4824311818979,13.7867294397468,13.2603121674781,"A"
"226","Kariba",2016,"11",24.4582771452586,55.1891899584552,13.4401981763623,"B"
"227","Kariba",2016,"12",82.1649404288712,117.080747104371,40.1670563145393,"C"
"228","Kariba",2017,"01",129.872747667549,133.170209817796,119.860486047488,"D"
"229","Kariba",2017,"02",132.506756384393,133.02909944412,131.859459351806,"E"
"230","Kariba",2017,"03",123.32888612812,133.176545160601,104.451684626975,"F"
"231","Kariba",2017,"04",82.9669403382574,95.6815256257748,72.4796577305183,"G"
"232","Kariba",2017,"05",47.1098747139018,68.2599840091917,33.2783005425658,"H"
"233","Kwekwe",2016,"10",9.90394039269556,10.2538216561,9.62407646206764,"A"
"234","Kwekwe",2016,"11",16.8694243050739,39.3589002471848,9.9248662800707,"B"
"235","Kwekwe",2016,"12",46.0998069327119,77.8825515686987,25.8700053967837,"C"
"236","Kwekwe",2017,"01",101.391109605643,104.974346532095,89.8272138318594,"D"
"237","Kwekwe",2017,"02",96.7780759152533,104.921919747559,86.6904608923221,"E"
"238","Kwekwe",2017,"03",75.0737780920651,104.780362444719,39.7311182690493,"F"
"239","Kwekwe",2017,"04",29.3607397054395,35.7170798326735,20.818242399478,"G"
"240","Kwekwe",2017,"05",19.8102953979008,31.8314628466746,12.0942687460055,"H"
"241","Lupane",2016,"10",8.67992033302328,9.19568949225018,8.40522851597496,"A"
"242","Lupane",2016,"11",11.695501387749,23.132319982419,8.67658739350829,"B"
"243","Lupane",2016,"12",38.1520691820856,70.7514069212318,14.1971200266498,"C"
"244","Lupane",2017,"01",80.7213420990671,82.8168324370514,75.3819310619059,"D"
"245","Lupane",2017,"02",77.4594381972569,82.7417329424953,69.5547249057385,"E"
