"District","DateBegin","DateEnd","SoilMoisture"
"Rushinga","SM20150517","20150519",2.81800434595248
"Shamva","SM20150517","20150519",3.77391776983808
"Chikomba","SM20150517","20150519",6.40767964469626
"Goromonzi","SM20150517","20150519",6.57381458492069
"Marondera","SM20150517","20150519",8.55984266738876
"Mudzi","SM20150517","20150519",2.95718503585956
"Mutoko","SM20150517","20150519",2.81687298937482
"Murehwa","SM20150517","20150519",5.478747735672
"UMP","SM20150517","20150519",3.00715734910118
"Seke","SM20150517","20150519",8.20807444221444
"Wedza","SM20150517","20150519",5.95339404098442
"Chirumhanzu","SM20150517","20150519",3.76569587596928
"Gokwe North","SM20150517","20150519",3.48546416003251
"Gokwe South","SM20150517","20150519",3.66776171166523
"Gweru","SM20150517","20150519",3.54984238217364
"Kwekwe","SM20150517","20150519",3.02909062177604
"Mberengwa","SM20150517","20150519",2.5281134792865
"Shurugwi","SM20150517","20150519",3.66741968308572
"Zvishavane","SM20150517","20150519",2.60065331256281
"Binga","SM20150517","20150519",4.52550781433292
"Bubi","SM20150517","20150519",2.7019035427518
"Hwange","SM20150517","20150519",2.90075368314002
"Lupane","SM20150517","20150519",2.85862648066994
"Nkayi","SM20150517","20150519",2.6966515893168
"Tsholotsho","SM20150517","20150519",2.42198098705207
"Umguza","SM20150517","20150519",2.63775565886911
"Beitbridge","SM20150517","20150519",2.27614600759442
"Bulilima (North)","SM20150517","20150519",2.34046061566686
"Gwanda","SM20150517","20150519",2.48998465411514
"Insiza","SM20150517","20150519",3.12277845176872
"Mangwe (South)","SM20150517","20150519",2.40889355242742
"Matobo","SM20150517","20150519",2.64508019277711
"Umzingwane","SM20150517","20150519",2.94899626050865
"Bikita","SM20150517","20150519",2.85989962500418
"Chiredzi","SM20150517","20150519",2.41375939094096
"Chivi","SM20150517","20150519",2.44158494650693
"Gutu","SM20150517","20150519",4.2352496477307
"Masvingo","SM20150517","20150519",2.68454100221562
"Mwenezi","SM20150517","20150519",2.39113280182425
"Zaka","SM20150517","20150519",2.74289805433447
"Chegutu","SM20150517","20150519",6.6943069860831
"Hurungwe","SM20150517","20150519",4.85966580553154
"Kadoma","SM20150517","20150519",4.72349909542303
"Kariba","SM20150517","20150519",10.4065491014553
"Makonde","SM20150517","20150519",4.6891235599028
"Zvimba","SM20150517","20150519",5.86479670541002
"Harare","SM20150520","20150522",9.79859072647649
"Bulawayo","SM20150520","20150522",2.66667268099626
"Buhera","SM20150520","20150522",3.75436440372061
"Chimanimani","SM20150520","20150522",7.52356600616885
"Chipinge","SM20150520","20150522",3.87526131265661
"Makoni","SM20150520","20150522",5.91319631297027
"Mutare","SM20150520","20150522",3.82628828041923
"Mutasa","SM20150520","20150522",5.35223740931335
"Nyanga","SM20150520","20150522",5.69958189848337
"Bindura","SM20150520","20150522",4.16174101090231
"Guruve","SM20150520","20150522",3.57964944237071
"Mount Darwin","SM20150520","20150522",3.35679730186454
"Mazowe","SM20150520","20150522",5.6080409821789
"Centenary","SM20150520","20150522",4.43893414903643
"Rushinga","SM20150520","20150522",2.78841851384227
"Shamva","SM20150520","20150522",3.47177378716278
"Chikomba","SM20150520","20150522",5.7337012991504
"Goromonzi","SM20150520","20150522",5.93182082973749
"Marondera","SM20150520","20150522",7.66680818637339
"Mudzi","SM20150520","20150522",2.95551325265173
"Mutoko","SM20150520","20150522",2.7807385228834
"Murehwa","SM20150520","20150522",4.79338352688471
"UMP","SM20150520","20150522",2.96264947750712
"Seke","SM20150520","20150522",7.43633348384389
"Wedza","SM20150520","20150522",5.23668227512205
"Chirumhanzu","SM20150520","20150522",3.39586112010714
"Gokwe North","SM20150520","20150522",3.01263862275305
"Gokwe South","SM20150520","20150522",3.32530683536734
"Gweru","SM20150520","20150522",3.27285985756019
"Kwekwe","SM20150520","20150522",2.8078990654074
"Mberengwa","SM20150520","20150522",2.49541395608995
"Shurugwi","SM20150520","20150522",3.33762684362582
"Zvishavane","SM20150520","20150522",2.48359779591877
"Binga","SM20150520","20150522",4.15125633521061
"Bubi","SM20150520","20150522",2.63545591136604
"Hwange","SM20150520","20150522",2.76504838923155
"Lupane","SM20150520","20150522",2.75510697483366
"Nkayi","SM20150520","20150522",2.59962269951204
"Tsholotsho","SM20150520","20150522",2.38889879537748
"Umguza","SM20150520","20150522",2.63320236248948
"Beitbridge","SM20150520","20150522",2.27880434067898
"Bulilima (North)","SM20150520","20150522",2.324452513333
"Gwanda","SM20150520","20150522",2.48392383645255
"Insiza","SM20150520","20150522",2.92335544560175
"Mangwe (South)","SM20150520","20150522",2.38089226193255
"Matobo","SM20150520","20150522",2.58022571048068
"Umzingwane","SM20150520","20150522",2.75448396676544
"Bikita","SM20150520","20150522",2.67567026755198
"Chiredzi","SM20150520","20150522",2.40593316660175
"Chivi","SM20150520","20150522",2.39355703514779
"Gutu","SM20150520","20150522",3.86460321120444
"Masvingo","SM20150520","20150522",2.56356439182441
"Mwenezi","SM20150520","20150522",2.3885062392908
"Zaka","SM20150520","20150522",2.60895547001952
"Chegutu","SM20150520","20150522",5.98158339135815
"Hurungwe","SM20150520","20150522",4.41244132553202
"Kadoma","SM20150520","20150522",4.12422528129382
"Kariba","SM20150520","20150522",9.83109721102696
"Makonde","SM20150520","20150522",4.17463766957688
"Zvimba","SM20150520","20150522",5.19679030383763
"Harare","SM20150523","20150525",9.30834891435022
"Bulawayo","SM20150523","20150525",2.57707330351891
"Buhera","SM20150523","20150525",3.4230372990979
"Chimanimani","SM20150523","20150525",7.06561028898302
"Chipinge","SM20150523","20150525",3.71655844653413
"Makoni","SM20150523","20150525",5.31479696598885
"Mutare","SM20150523","20150525",3.50812580446701
"Mutasa","SM20150523","20150525",4.87657645506606
"Nyanga","SM20150523","20150525",5.33133926626788
"Bindura","SM20150523","20150525",3.76950092766626
"Guruve","SM20150523","20150525",3.34953545381546
"Mount Darwin","SM20150523","20150525",3.15483321867343
