"District","Year","Month","AveragePRECIP","MaxPRECIP","MinPRECIP"
"Beitbridge","2006","06",2.64651385096322,2.64651385096322,2.64651385096322
"Beitbridge","2006","07",0.00736987796452293,0.00736987796452293,0.00736987796452293
"Beitbridge","2006","08",0.0046454109109453,0.0046454109109453,0.0046454109109453
"Beitbridge","2006","09",0.551144315624972,0.551144315624972,0.551144315624972
"Beitbridge","2006","10",5.95629194823423,5.95629194823423,5.95629194823423
"Beitbridge","2006","11",78.3040640979713,78.3040640979713,78.3040640979713
"Beitbridge","2006","12",53.5634090717078,53.5634090717078,53.5634090717078
"Beitbridge","2007","01",25.9616525164751,25.9616525164751,25.9616525164751
"Beitbridge","2007","02",23.9393958603781,23.9393958603781,23.9393958603781
"Beitbridge","2007","03",74.7746908373399,74.7746908373399,74.7746908373399
"Beitbridge","2007","04",17.384111117367,17.384111117367,17.384111117367
