"Year","Month","Day","Precipitation","District"
"2000","07","01",6.64438258168452,"Mutare"
"2000","07","01",2.52756421255569,"Mutasa"
"2000","07","01",3.2054354336551,"Nyanga"
"2000","07","01",0.124078110556173,"Bindura"
"2000","07","01",0.2118446119089,"Guruve"
"2000","07","01",0.123971852231697,"Mount Darwin"
"2000","07","01",0.208752108443136,"Mazowe"
"2000","07","01",0.133384733734534,"Centenary"
"2000","07","01",0.301669863534763,"Rushinga"
"2000","07","01",0.16623799791377,"Shamva"
"2000","07","01",1.6792660791678,"Chikomba"
"2000","07","01",0.283340795441786,"Goromonzi"
"2000","07","01",0.795163201211322,"Marondera"
"2000","07","01",0.961394688392094,"Mudzi"
"2000","07","01",1.48432561320381,"Mutoko"
"2000","07","01",0.681979960431436,"Murehwa"
"2000","07","01",0.699839425448776,"UMP"
"2000","07","01",0.139402079463631,"Seke"
"2000","07","01",0.81494659266672,"Wedza"
"2000","07","01",1.66418821233526,"Chirumhanzu"
"2000","07","01",0.26414073262633,"Gokwe North"
"2000","07","01",0.762327818934921,"Gokwe South"
"2000","07","01",1.07644340215872,"Gweru"
"2000","07","01",0.807760966860909,"Kwekwe"
"2000","07","01",1.71754174865417,"Mberengwa"
"2000","07","01",1.4480542159548,"Shurugwi"
"2000","07","01",1.071584584007,"Zvishavane"
"2000","07","01",0.0683974599329125,"Binga"
"2000","07","01",0.803212161816876,"Bubi"
"2000","07","01",0.542258483655667,"Hwange"
"2000","07","01",0.490037169154048,"Lupane"
"2000","07","01",0.809390458286575,"Nkayi"
"2000","07","01",0.791575778281207,"Tsholotsho"
"2000","07","01",0.783219602497696,"Umguza"
"2000","07","01",6.1353345945094,"Beitbridge"
"2000","07","01",1.02340701151292,"Bulilima (North)"
"2000","07","01",2.30003453933693,"Gwanda"
"2000","07","01",1.11917741697044,"Insiza"
"2000","07","01",0.61963905508598,"Mangwe (South)"
"2000","07","01",0.599661163555906,"Matobo"
"2000","07","01",0.305169025687136,"Umzingwane"
"2000","07","01",5.34377776862432,"Bikita"
"2000","07","01",8.75449302284162,"Chiredzi"
"2000","07","01",2.05203170213191,"Chivi"
"2000","07","01",5.05723052934616,"Gutu"
"2000","07","01",4.46486574697363,"Masvingo"
"2000","07","01",4.37355977334128,"Mwenezi"
"2000","07","01",2.60347531674539,"Zaka"
"2000","07","01",0.088048463925838,"Chegutu"
"2000","07","01",0.177155805105967,"Hurungwe"
"2000","07","01",0.311674920609221,"Kadoma"
"2000","07","01",0.074801661306878,"Kariba"
"2000","07","01",0.302343082244824,"Makonde"
"2000","07","01",0.158760596003484,"Zvimba"
"2000","08","01",0.0196090892123631,"Harare"
"2000","08","01",0.0039695346189261,"Bulawayo"
"2000","08","01",3.67136580489494,"Buhera"
"2000","08","01",0.348838356864072,"Chimanimani"
"2000","08","01",0.678136771613293,"Chipinge"
"2000","08","01",2.19148329656169,"Makoni"
"2000","08","01",3.40917494852146,"Mutare"
"2000","08","01",1.16770691441043,"Mutasa"
"2000","08","01",1.90996527011123,"Nyanga"
"2000","08","01",0.0389626029777847,"Bindura"
"2000","08","01",0.133245072410985,"Guruve"
"2000","08","01",0.206844652774082,"Mount Darwin"
"2000","08","01",0.0515654370279734,"Mazowe"
"2000","08","01",0.162644668436363,"Centenary"
"2000","08","01",0.147883966049252,"Rushinga"
"2000","08","01",0.0659068941684239,"Shamva"
"2000","08","01",0.50399814720988,"Chikomba"
"2000","08","01",0.0948164536068147,"Goromonzi"
"2000","08","01",0.397687997109617,"Marondera"
"2000","08","01",0.457252195806188,"Mudzi"
"2000","08","01",1.11734886869797,"Mutoko"
"2000","08","01",0.261957145053163,"Murehwa"
"2000","08","01",0.295595335785822,"UMP"
"2000","08","01",0.091084479126456,"Seke"
"2000","08","01",0.23252255839807,"Wedza"
"2000","08","01",0.189011822998416,"Chirumhanzu"
"2000","08","01",0.289286654780153,"Gokwe North"
"2000","08","01",0.309968309760477,"Gokwe South"
"2000","08","01",0.169321281965206,"Gweru"
"2000","08","01",0.128157341545453,"Kwekwe"
"2000","08","01",0.114884244103593,"Mberengwa"
"2000","08","01",0.15682147906559,"Shurugwi"
"2000","08","01",0.127069260882669,"Zvishavane"
"2000","08","01",0.530151118036512,"Binga"
"2000","08","01",0.0321770984383999,"Bubi"
"2000","08","01",0.896964611958167,"Hwange"
"2000","08","01",0.229268875096807,"Lupane"
"2000","08","01",0.116092707330444,"Nkayi"
"2000","08","01",0.226650939885568,"Tsholotsho"
"2000","08","01",0.0556841808937915,"Umguza"
"2000","08","01",0.0511901206538467,"Beitbridge"
"2000","08","01",0.110213631219299,"Bulilima (North)"
"2000","08","01",0.0660901987468641,"Gwanda"
"2000","08","01",0.061085568795234,"Insiza"
"2000","08","01",0.0456203480435315,"Mangwe (South)"
"2000","08","01",0.0611962718247977,"Matobo"
"2000","08","01",0.0203774970050504,"Umzingwane"
"2000","08","01",0.92970343654537,"Bikita"
"2000","08","01",1.72481017404577,"Chiredzi"
"2000","08","01",0.247762206661077,"Chivi"
"2000","08","01",1.17331359497792,"Gutu"
"2000","08","01",0.573679322075537,"Masvingo"
"2000","08","01",0.264386694908364,"Mwenezi"
"2000","08","01",0.36950666437236,"Zaka"
"2000","08","01",0.0549955446568977,"Chegutu"
"2000","08","01",0.474639507017769,"Hurungwe"
"2000","08","01",0.176714105171342,"Kadoma"
"2000","08","01",0.29044168914957,"Kariba"
"2000","08","01",0.243678045877445,"Makonde"
"2000","08","01",0.0515994974192033,"Zvimba"
"2000","09","01",0.27214922073352,"Harare"
"2000","09","01",0.0222664929100075,"Bulawayo"
"2000","09","01",20.4350524050786,"Buhera"
"2000","09","01",6.25383531984453,"Chimanimani"
"2000","09","01",11.2876465684643,"Chipinge"
"2000","09","01",15.6310094887427,"Makoni"
"2000","09","01",24.1785294132782,"Mutare"
"2000","09","01",2.59011682908179,"Mutasa"
"2000","09","01",3.70520142953039,"Nyanga"
"2000","09","01",0.492420808928928,"Bindura"
"2000","09","01",1.81848621659743,"Guruve"
"2000","09","01",0.755737739491651,"Mount Darwin"
"2000","09","01",1.14551350897014,"Mazowe"
"2000","09","01",0.834909511472592,"Centenary"
"2000","09","01",0.557463594174524,"Rushinga"
"2000","09","01",0.978429085069208,"Shamva"
"2000","09","01",6.38795311169005,"Chikomba"
"2000","09","01",1.07018679239623,"Goromonzi"
"2000","09","01",3.7415308042192,"Marondera"
"2000","09","01",1.44917052073002,"Mudzi"
"2000","09","01",4.64337798300765,"Mutoko"
"2000","09","01",1.83711676550846,"Murehwa"
"2000","09","01",1.67513423480057,"UMP"
"2000","09","01",1.14621569809924,"Seke"
"2000","09","01",2.61652400411081,"Wedza"
"2000","09","01",2.52162212759403,"Chirumhanzu"
"2000","09","01",0.787159186035541,"Gokwe North"
"2000","09","01",2.40441112092984,"Gokwe South"
"2000","09","01",1.19044875274778,"Gweru"
"2000","09","01",1.37908541464085,"Kwekwe"
"2000","09","01",0.93285782217144,"Mberengwa"
"2000","09","01",2.11479219094412,"Shurugwi"
