"Region","Year","Month","AverageEVI","MaxEVI","MinEVI","MedianEVI"
"IV","2005","12",0.176552069765273,0.324306919684674,0.0276630944688076,0.148552004238476
"IV","2006","01",0.312682084572347,0.442159487172531,0.158172109834396,0.321192634157927
"IV","2006","02",0.341766088248823,0.459928452268873,0.178052753726425,0.348245491980206
"IV","2006","03",0.308640984906418,0.451037071372939,0.0640354399947301,0.338941458004538
"IV","2006","04",0.32075525215825,0.427610230621226,0.0990716091884254,0.329357818421066
"IV","2006","05",0.282407994991983,0.354699091898867,0.202043943763451,0.282522785870707
"IV","2006","06",0.22966082184854,0.302785246750032,0.152751869198796,0.228078702463852
"IV","2006","07",0.207149812527769,0.257278495417358,0.169247056322897,0.205874996491137
"IV","2006","08",0.178898071915361,0.220619797916533,0.126923807655751,0.181343309668256
"IV","2006","09",0.171554460138441,0.197780246391635,0.151376323042679,0.170080127916153
"IV","2006","10",0.163569233070781,0.209707964354586,0.0685263038564338,0.164611434651576
"IV","2006","11",0.163576743301685,0.263745204722846,0.024461956809858,0.172004128138771
"IV","2006","12",0.254092875216344,0.349347422279949,0.0941066876427534,0.266082796563337
"IV","2007","01",0.283559338300774,0.414381878601921,0.0709987778567243,0.281943345760424
"IV","2007","02",0.305736009839109,0.392004645077366,0.151187671453315,0.308477013520115
"IV","2007","03",0.316748752674159,0.420114919272479,0.125913498713461,0.32174737694531
"IV","2007","04",0.27819738354353,0.383500765257985,0.0765157342396372,0.289670825342918
"IV","2007","05",0.258084972606417,0.329060620505813,0.220175152900261,0.254227966808722
"IV","2007","06",0.204627360154401,0.247136965811791,0.0750280036385654,0.205907911874596
"IV","2007","07",0.182048416027074,0.217971892904009,0.126256752350343,0.1849208443383
"IV","2007","08",0.164335837047581,0.200688311735766,0.130883671523082,0.161881469707883
"IV","2007","09",0.147751151438893,0.172684923906597,0.0474411631289551,0.150042293096382
"IV","2007","10",0.150637440269613,0.201896379506294,0.0284443868199984,0.1573299697129
"IV","2007","11",0.171299695760545,0.253270061950167,0.0527798523957148,0.191814556598122
"IV","2007","12",0.165144180401669,0.278905948584193,0.0189575375135025,0.157375316116579
"IV","2008","01",0.251493378893777,0.387973939082984,0.0594200572811179,0.254173696630881
"IV","2008","02",0.371159616157742,0.479783024382637,0.286420502298682,0.356884427822142
"IV","2008","03",0.317141928389747,0.40472815801054,0.131345206070526,0.3238227589641
"IV","2008","04",0.295295760948839,0.367569833756582,0.251859751485186,0.293792570670016
"IV","2008","05",0.242700960823234,0.296905919335757,0.103363748956622,0.247128842339688
"IV","2008","06",0.213091317628743,0.259527998482987,0.0867972651989805,0.213804446125327
"IV","2008","07",0.18900894759753,0.235446157512291,0.144543469629089,0.187018269017909
"IV","2008","08",0.17309301343424,0.206311863454967,0.11930298133614,0.175380597743095
"IV","2008","09",0.15713487891056,0.182481927317094,0.118304910403392,0.155935080033765
"IV","2008","10",0.160593701719404,0.185277352988877,0.110096731175425,0.163935862732083
"IV","2008","11",0.151064632681572,0.296695135891562,0.0168635465546717,0.144468786770628
"IV","2008","12",0.209677273660525,0.389797634112702,0.0449704871038427,0.207590648264808
"IV","2009","01",0.335073804912175,0.449799620506857,0.220212037117017,0.34200873747056
"IV","2009","02",0.357426647577075,0.464421590840698,0.213462928355389,0.372380317755265
