"District","YearBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture"
"Chimanimani","2019",11.4612688023246,25.3387662238345,4.21393310292162
"Chimanimani","2020",10.8601486653589,24.0580783694266,2.85858123653287
"Chimanimani","2021",9.74544186283808,25.1471527748045,3.1398465138499
"Chipinge","2015",3.20539780718454,12.9994561122433,1.99880064951509
"Chipinge","2016",6.63496221685547,23.9048798040034,1.99128189392719
"Chipinge","2017",10.2831830194163,25.3628731650216,2.28198540751279
"Chipinge","2018",10.6960146253642,25.1911581920582,2.40231661495377
"Chipinge","2019",9.19430911982062,25.324964985204,2.87534474382715
"Chipinge","2020",9.58566075860256,24.8813000283378,2.36473336256048
"Chipinge","2021",8.37219495584161,25.32624181371,2.41459398932614
"Chiredzi","2015",2.61090542293327,5.74807463463599,2.11120779954056
"Chiredzi","2016",4.39957066795286,18.5995531667787,2.09497327712447
