"District","Year","AverageNDVI","MaxNDVI","MinNDVI"
"Bulawayo","2002",0.346905196868493,0.537929174,0.249636861
"Bulawayo","2003",0.340156935145206,0.499033126,0.234768726
"Bulawayo","2004",0.384209345696721,0.624684039,0.253720922
"Bulawayo","2005",0.343988070849315,0.550317847,0.229396422
"Bulawayo","2006",0.435543118835616,0.692521912,0.266616375
"Bulawayo","2007",0.373794480660274,0.671236361,0.243961707
"Bulawayo","2008",0.383991539229508,0.626540428,0.249205824
"Bulawayo","2009",0.419078235912329,0.616884398,0.264036932
"Bulawayo","2010",0.417945667578082,0.567910817,0.264107988
"Bulawayo","2011",0.394424228019178,0.643026388,0.25415915
"Bulawayo","2012",0.338979946644809,0.522844662,0.246170737
"Bulawayo","2013",0.358691358515069,0.533595793,0.245223723
"Bulawayo","2014",0.406633129139726,0.640607755,0.258298792
"Bulawayo","2015",0.376300807742466,0.574292087,0.245640646
"Bulawayo","2016",0.342585042262295,0.580360915,0.235736875
"Bulawayo","2017",0.437458760156164,0.667854414,0.277959174
"Bulawayo","2018",0.380075853358543,0.608946879,0.256539456
"Bulawayo","2019",0.351974479726027,0.539353738,0.243085478
"Bulawayo","2020",0.369476754765027,0.597844609,0.245128205
"Bulawayo","2021",0.412569943043956,0.680748869,0.273817897
"Bulilima (North)","2000",0.410046568237288,0.593874678,0.283187394
"Bulilima (North)","2001",0.419564545980501,0.591131161,0.274557004
"Bulilima (North)","2002",0.345232338569863,0.488223184,0.253166281
"Bulilima (North)","2003",0.328677831356164,0.443130714,0.23317311
"Bulilima (North)","2004",0.397419986997268,0.559475847,0.261762195
"Bulilima (North)","2005",0.364662121736986,0.530919043,0.248428727
"Bulilima (North)","2006",0.451155871868493,0.660703186,0.285942107
"Bulilima (North)","2007",0.387619178638356,0.54982742,0.268588387
"Bulilima (North)","2008",0.384436342270492,0.57101614,0.265021753
"Bulilima (North)","2009",0.419985596391781,0.601401662,0.275013166
"Bulilima (North)","2010",0.398158815410959,0.528754072,0.264989039
"Bulilima (North)","2011",0.384547784989041,0.551828456,0.262840726
"Bulilima (North)","2012",0.359327417303279,0.516788043,0.267302209
"Bulilima (North)","2013",0.354764820035616,0.503519144,0.249082868
"Bulilima (North)","2014",0.415382001583562,0.607492508,0.272769341
"Bulilima (North)","2015",0.371060506473973,0.515362515,0.253319511
"Bulilima (North)","2016",0.373875905226776,0.539283619,0.257318857
"Bulilima (North)","2017",0.448356449161644,0.639136998,0.29316824
"Bulilima (North)","2018",0.400509522032877,0.596763039,0.27184223
