"","...1","District","YearBegin","MonthBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture","group","AverageIdeal","MaxIdeal","MinIdeal","AverageWet","MaxWet","MinWet","AverageDry","MaxDry","MinDry"
"16",16,"Bikita",2017,"05",33.2833606533613,52.8783779256669,18.9845356254362,"H",1,1,0,0,0,0,0,0,1
"17",17,"Bindura",2016,"10",13.4108682453113,14.5636152550135,12.7804790359678,"A",0,0,0,0,0,0,1,1,1
"18",18,"Bindura",2016,"11",23.2328371658777,70.2157211887387,13.2402879912966,"B",0,1,0,0,0,0,1,0,1
"19",19,"Bindura",2016,"12",102.35983590978,128.348728595335,53.4739620272075,"C",0,0,1,1,1,0,0,0,0
"20",20,"Bindura",2017,"01",128.190299012029,128.390548966225,127.372271672135,"D",0,0,0,1,1,1,0,0,0
"21",21,"Bindura",2017,"02",126.133432639559,128.201998675472,122.586907763142,"E",0,0,0,1,1,1,0,0,0
"22",22,"Bindura",2017,"03",107.450174249815,125.541156441878,87.7494496385647,"F",0,0,1,1,1,0,0,0,0
"23",23,"Bindura",2017,"04",64.3145138113475,75.835360826716,50.1734023158987,"G",1,1,1,0,0,0,0,0,0
"24",24,"Bindura",2017,"05",45.8645827350444,61.2085854317742,33.2001200654464,"H",1,1,1,0,0,0,0,0,0
"25",25,"Binga",2016,"10",10.9691540181445,11.2535047758323,10.6985293900716,"A",0,0,0,0,0,0,1,1,1
"26",26,"Binga",2016,"11",16.0330685552585,35.7833722199338,11.2511711743064,"B",0,1,0,0,0,0,1,0,1
"27",27,"Binga",2016,"12",51.7128309349097,83.6899011616351,24.2127560590062,"C",1,1,0,0,0,0,0,0,1
"28",28,"Binga",2017,"01",109.969841514724,114.984914341088,91.5333661103673,"D",0,0,1,1,1,0,0,0,0
"29",29,"Binga",2017,"02",112.495013021223,115.300959967713,106.430153494546,"E",0,0,0,1,1,1,0,0,0
"30",30,"Binga",2017,"03",101.296451435096,115.631287251424,78.4675100021387,"F",0,0,1,1,1,0,0,0,0
"31",31,"Binga",2017,"04",54.1524941913269,68.6866832376404,47.5070046243031,"G",1,1,1,0,0,0,0,0,0
"32",32,"Binga",2017,"05",30.6045344504424,47.5961626668123,19.36182559203,"H",1,1,0,0,0,0,0,0,1
"33",33,"Bubi",2016,"10",9.57276245999915,10.4093360018699,9.06973368848809,"A",0,0,0,0,0,0,1,1,1
"34",34,"Bubi",2016,"11",14.643896300579,26.998018848631,9.49302824650576,"B",0,1,0,0,0,0,1,0,1
"35",35,"Bubi",2016,"12",39.8238827584749,75.9087272915112,15.0018548706628,"C",1,1,0,0,0,0,0,0,1
"36",36,"Bubi",2017,"01",94.843668158469,99.4891780030008,87.4412434033187,"D",1,1,1,0,0,0,0,0,0
"37",37,"Bubi",2017,"02",90.9123899919789,99.9692959171295,76.6751549987535,"E",1,1,1,0,0,0,0,0,0
"38",38,"Bubi",2017,"03",67.0754935233657,98.4556569393824,31.2715876104866,"F",1,1,1,0,0,0,0,0,0
"39",39,"Bubi",2017,"04",26.8948156533374,40.2640561446749,16.6272536930101,"G",1,1,0,0,0,0,0,0,1
"40",40,"Bubi",2017,"05",19.4524687906604,33.3506731116793,11.6992198610156,"H",0,1,0,0,0,0,1,0,1
"41",41,"Buhera",2016,"10",12.923279703261,18.668115755002,10.4321797846918,"A",0,0,0,0,0,0,1,1,1
"42",42,"Buhera",2016,"11",30.9511698205486,56.4147609277314,10.3966730314603,"B",1,1,0,0,0,0,0,0,1
"43",43,"Buhera",2016,"12",77.7434099150323,107.314515690295,30.9261132359716,"C",1,0,1,0,1,0,0,0,0
"44",44,"Buhera",2017,"01",109.92423652538,112.114827811608,106.060081544314,"D",0,0,0,1,1,1,0,0,0
"45",45,"Buhera",2017,"02",102.685425731512,111.454703588421,83.1322116585258,"E",0,0,1,1,1,0,0,0,0
"46",46,"Buhera",2017,"03",85.0083296632879,112.010068400203,50.1361281911605,"F",1,0,1,0,1,0,0,0,0
"47",47,"Buhera",2017,"04",31.6771203796524,40.9045478652425,22.9134804299433,"G",1,1,0,0,0,0,0,0,1
"48",48,"Buhera",2017,"05",24.2749305777339,36.4152729217557,15.69429835465,"H",0,1,0,0,0,0,1,0,1
"49",49,"Bulawayo",2016,"10",10.4856754494132,10.9420848948486,9.96383827016796,"A",0,0,0,0,0,0,1,1,1
"50",50,"Bulawayo",2016,"11",11.2471577503743,13.776009548779,10.0415969456615,"B",0,0,0,0,0,0,1,1,1
"51",51,"Bulawayo",2016,"12",45.3633693953638,97.8493050613144,10.3463977367061,"C",1,1,0,0,0,0,0,0,1
"52",52,"Bulawayo",2017,"01",104.536032228323,108.214463389117,97.8724047751644,"D",0,0,1,1,1,0,0,0,0
"53",53,"Bulawayo",2017,"02",103.866158249221,109.08514499493,87.7783164208843,"E",0,0,1,1,1,0,0,0,0
"54",54,"Bulawayo",2017,"03",83.362714754267,108.053074342283,49.6522073781902,"F",1,0,1,0,1,0,0,0,0
"55",55,"Bulawayo",2017,"04",36.6952617890489,44.1210159652841,32.3749185530909,"G",1,1,1,0,0,0,0,0,0
"56",56,"Bulawayo",2017,"05",20.7903474015898,31.1973954301843,14.881237750854,"H",0,1,0,0,0,0,1,0,1
"57",57,"Bulilima (North)",2016,"10",9.60786209217745,10.3811494799128,9.07897134120792,"A",0,0,0,0,0,0,1,1,1
"58",58,"Bulilima (North)",2016,"11",15.0766662122795,18.7736268501142,10.2057595659129,"B",0,0,0,0,0,0,1,1,1
"59",59,"Bulilima (North)",2016,"12",41.1493136818796,77.5627890064499,10.5454897965813,"C",1,1,0,0,0,0,0,0,1
"60",60,"Bulilima (North)",2017,"01",79.1340134703692,86.2539859375016,66.2427591821423,"D",1,1,1,0,0,0,0,0,0
"61",61,"Bulilima (North)",2017,"02",78.3068828486034,89.0824622750483,60.3469968433035,"E",1,1,1,0,0,0,0,0,0
"62",62,"Bulilima (North)",2017,"03",54.6944098333182,88.9210664630523,19.99759412559,"F",1,1,0,0,0,0,0,0,1
"63",63,"Bulilima (North)",2017,"04",18.1284104081445,20.2267548684835,15.4613570423948,"G",0,0,0,0,0,0,1,1,1
"64",64,"Bulilima (North)",2017,"05",11.9759873262676,16.5491071718604,10.2541312779194,"H",0,0,0,0,0,0,1,1,1
"65",65,"Centenary",2016,"10",13.7587815038572,14.5961606995935,13.338783054187,"A",0,0,0,0,0,0,1,1,1
"66",66,"Centenary",2016,"11",21.2371805316242,54.1323875558095,13.3382880284876,"B",0,1,0,0,0,0,1,0,1
"67",67,"Centenary",2016,"12",108.956729173442,148.015592210637,44.7370671868293,"C",0,0,1,1,1,0,0,0,0
"68",68,"Centenary",2017,"01",149.043595294666,149.134681385247,148.801118628332,"D",0,0,0,1,1,1,0,0,0
"69",69,"Centenary",2017,"02",148.288865624497,149.122710329784,145.573565328066,"E",0,0,0,1,1,1,0,0,0
"70",70,"Centenary",2017,"03",137.138135719967,149.10093962342,120.436501434471,"F",0,0,0,1,1,1,0,0,0
"71",71,"Centenary",2017,"04",85.2488975801492,107.572602727662,73.464680661234,"G",1,0,1,0,1,0,0,0,0
"72",72,"Centenary",2017,"05",48.0230170576392,67.5864453512761,32.9513677378184,"H",1,1,1,0,0,0,0,0,0
"73",73,"Chegutu",2016,"10",12.6473160206358,12.869461665664,12.3850456676271,"A",0,0,0,0,0,0,1,1,1
"74",74,"Chegutu",2016,"11",25.4000343154297,55.1172739333527,13.0863977694474,"B",1,1,0,0,0,0,0,0,1
"75",75,"Chegutu",2016,"12",97.9689084494388,141.243067223626,51.0027042496483,"C",1,0,1,0,1,0,0,0,0
"76",76,"Chegutu",2017,"01",141.248027754543,141.396757662732,140.995195464605,"D",0,0,0,1,1,1,0,0,0
"77",77,"Chegutu",2017,"02",139.411142749068,141.511510579434,132.652617895497,"E",0,0,0,1,1,1,0,0,0
"78",78,"Chegutu",2017,"03",110.538418297704,140.987534705547,74.9914219713593,"F",0,0,1,1,1,0,0,0,0
"79",79,"Chegutu",2017,"04",52.7624047521845,65.5403928882187,46.1590303381548,"G",1,1,1,0,0,0,0,0,0
"80",80,"Chegutu",2017,"05",36.5582372760062,51.6844070302536,23.6497877575905,"H",1,1,0,0,0,0,0,0,1
"81",81,"Chikomba",2016,"10",11.2408639015246,12.4900865008584,10.646860148137,"A",0,0,0,0,0,0,1,1,1
"82",82,"Chikomba",2016,"11",24.3608626900931,53.8013943032135,10.6930431417945,"B",0,1,0,0,0,0,1,0,1
"83",83,"Chikomba",2016,"12",83.9409464049327,114.288087128287,39.1806219614662,"C",1,0,1,0,1,0,0,0,0
"84",84,"Chikomba",2017,"01",115.81931657115,116.399442205537,114.486916679153,"D",0,0,0,1,1,1,0,0,0
"85",85,"Chikomba",2017,"02",111.377392281372,116.236917659256,101.603417799531,"E",0,0,0,1,1,1,0,0,0
"86",86,"Chikomba",2017,"03",92.139920691473,116.301837501586,61.0920133929317,"F",1,0,1,0,1,0,0,0,0
"87",87,"Chikomba",2017,"04",39.9945609439804,52.3045950449969,33.9056700479386,"G",1,1,1,0,0,0,0,0,0
"88",88,"Chikomba",2017,"05",26.6543137919178,37.9387215291712,17.6203688317497,"H",1,1,0,0,0,0,0,0,1
"89",89,"Chimanimani",2016,"10",15.6855336515521,18.2331695988509,13.5966910737541,"A",0,0,0,0,0,0,1,1,1
"90",90,"Chimanimani",2016,"11",40.9932325048391,66.13480971972,12.9062089726812,"B",1,1,0,0,0,0,0,0,1
"91",91,"Chimanimani",2016,"12",98.8027268192026,131.070280779526,50.8537028388682,"C",1,0,1,0,1,0,0,0,0
"92",92,"Chimanimani",2017,"01",144.453430747431,151.269222343466,128.124432806562,"D",0,0,0,1,1,1,0,0,0
"93",93,"Chimanimani",2017,"02",134.796114800113,144.811570564169,123.580607489506,"E",0,0,0,1,1,1,0,0,0
"94",94,"Chimanimani",2017,"03",133.077265739011,147.552259474492,114.107289995572,"F",0,0,0,1,1,1,0,0,0
"95",95,"Chimanimani",2017,"04",90.1460164700272,105.643658637393,81.2226467209122,"G",1,0,1,0,1,0,0,0,0
"96",96,"Chimanimani",2017,"05",64.6959522840843,84.1425184030829,48.4141397831775,"H",1,1,1,0,0,0,0,0,0
"97",97,"Chipinge",2016,"10",13.441768376277,13.8427558136657,12.8159740765079,"A",0,0,0,0,0,0,1,1,1
"98",98,"Chipinge",2016,"11",32.5809756911427,59.8338626576854,12.7957224488311,"B",1,1,0,0,0,0,0,0,1
"99",99,"Chipinge",2016,"12",96.200243544309,147.719784556093,40.8479969139015,"C",1,0,1,0,1,0,0,0,0
"100",100,"Chipinge",2017,"01",147.107331141436,154.269163916016,135.009807669235,"D",0,0,0,1,1,1,0,0,0
"101",101,"Chipinge",2017,"02",127.594691482235,144.522551524269,112.94060809353,"E",0,0,0,1,1,1,0,0,0
"102",102,"Chipinge",2017,"03",125.650162674118,136.980167795035,105.649000771659,"F",0,0,0,1,1,1,0,0,0
"103",103,"Chipinge",2017,"04",78.1503503900717,94.8313432302622,67.4349584802649,"G",1,1,1,0,0,0,0,0,0
"104",104,"Chipinge",2017,"05",59.2082122382162,80.7332053344726,41.022953405527,"H",1,1,1,0,0,0,0,0,0
"105",105,"Chiredzi",2016,"10",14.329573741747,14.6928022245061,13.8616749546248,"A",0,0,0,0,0,0,1,1,1
"106",106,"Chiredzi",2016,"11",17.4144696883068,30.6865075169509,13.4563214667324,"B",0,1,0,0,0,0,1,0,1
"107",107,"Chiredzi",2016,"12",60.5734560012886,99.714391957542,18.1013235045775,"C",1,1,0,0,0,0,0,0,1
"108",108,"Chiredzi",2017,"01",106.467712501233,135.320155196363,78.7752039390628,"D",0,0,1,1,1,0,0,0,0
"109",109,"Chiredzi",2017,"02",91.9472090089768,108.979971188228,70.6185620180152,"E",1,0,1,0,1,0,0,0,0
"110",110,"Chiredzi",2017,"03",69.5482989087221,91.654782288115,45.692019311896,"F",1,1,1,0,0,0,0,0,0
"111",111,"Chiredzi",2017,"04",35.1837608465673,43.6205644494945,27.5460772685535,"G",1,1,1,0,0,0,0,0,0
"112",112,"Chiredzi",2017,"05",35.2387649831635,47.6426374310328,23.9695237061502,"H",1,1,0,0,0,0,0,0,1
"113",113,"Chirumhanzu",2016,"10",11.4369954713601,13.5397321056298,10.4661052477167,"A",0,0,0,0,0,0,1,1,1
"114",114,"Chirumhanzu",2016,"11",21.7990511719268,47.7490754630959,10.6357247000376,"B",0,1,0,0,0,0,1,0,1
"115",115,"Chirumhanzu",2016,"12",73.0746613333673,109.729284135434,33.6368293632691,"C",1,0,1,0,1,0,0,0,0
"116",116,"Chirumhanzu",2017,"01",114.045143377951,115.326495515765,111.732260071589,"D",0,0,0,1,1,1,0,0,0
"117",117,"Chirumhanzu",2017,"02",107.926473485726,115.27116936738,95.0257103191696,"E",0,0,1,1,1,0,0,0,0
"118",118,"Chirumhanzu",2017,"03",90.9371285696631,115.313432713393,57.2384753468122,"F",1,0,1,0,1,0,0,0,0
"119",119,"Chirumhanzu",2017,"04",41.9207921195243,51.053160452806,33.6159256720729,"G",1,1,1,0,0,0,0,0,0
"120",120,"Chirumhanzu",2017,"05",31.2458219396737,47.5387057657742,18.95066235753,"H",1,1,0,0,0,0,0,0,1
"121",121,"Chivi",2016,"10",13.4052160716581,14.998454110956,12.3602627751419,"A",0,0,0,0,0,0,1,1,1
"122",122,"Chivi",2016,"11",18.1300794510386,42.0175031460064,12.1923759274838,"B",0,1,0,0,0,0,1,0,1
"123",123,"Chivi",2016,"12",78.7113511836272,125.180392323908,20.9913698195774,"C",1,0,0,0,1,0,0,0,1
"124",124,"Chivi",2017,"01",119.541880912704,127.835202483394,110.392303747393,"D",0,0,0,1,1,1,0,0,0
"125",125,"Chivi",2017,"02",118.552364635731,128.87416553223,88.8471415789925,"E",0,0,1,1,1,0,0,0,0
"126",126,"Chivi",2017,"03",105.000981673476,127.55984417555,70.9765560246846,"F",0,0,1,1,1,0,0,0,0
"127",127,"Chivi",2017,"04",45.1027545961874,60.5085636047899,35.203503990384,"G",1,1,1,0,0,0,0,0,0
"128",128,"Chivi",2017,"05",34.8375560676302,50.725477403504,23.0889284244817,"H",1,1,0,0,0,0,0,0,1
"129",129,"Gokwe North",2016,"10",8.94903406024202,9.26471621153462,8.72221500623168,"A",0,0,0,0,0,0,1,1,1
"130",130,"Gokwe North",2016,"11",16.1211798288502,33.004284113614,9.24367883551694,"B",0,1,0,0,0,0,1,0,1
"131",131,"Gokwe North",2016,"12",52.1833792687105,76.5723840185984,24.2715190685499,"C",1,1,0,0,0,0,0,0,1
"132",132,"Gokwe North",2017,"01",99.0490106673285,103.787508672376,81.0247240441404,"D",1,0,1,0,1,0,0,0,0
"133",133,"Gokwe North",2017,"02",101.852189754347,103.663657137375,99.3201175668166,"E",0,0,1,1,1,0,0,0,0
"134",134,"Gokwe North",2017,"03",83.3927893501899,103.744596237221,57.4352496685006,"F",1,0,1,0,1,0,0,0,0
"135",135,"Gokwe North",2017,"04",38.8317915525094,47.8892931687293,30.9041730880089,"G",1,1,1,0,0,0,0,0,0
"136",136,"Gokwe North",2017,"05",21.6278379576585,34.5849921167819,14.3832193801031,"H",0,1,0,0,0,0,1,0,1
"137",137,"Gokwe South",2016,"10",9.00859218415033,9.343599506895,8.73763926051908,"A",0,0,0,0,0,0,1,1,1
"138",138,"Gokwe South",2016,"11",17.3573187531387,44.9974227934906,9.31514909402447,"B",0,1,0,0,0,0,1,0,1
"139",139,"Gokwe South",2016,"12",53.0166683053013,76.1573500530958,27.9140444970155,"C",1,1,1,0,0,0,0,0,0
"140",140,"Gokwe South",2017,"01",89.9392960386056,92.0090730485492,82.4811749209778,"D",1,1,1,0,0,0,0,0,0
"141",141,"Gokwe South",2017,"02",89.6298034961803,91.836225195342,84.480228356442,"E",1,1,1,0,0,0,0,0,0
"142",142,"Gokwe South",2017,"03",73.0399082834986,92.0097061433801,50.9575000572037,"F",1,1,1,0,0,0,0,0,0
"143",143,"Gokwe South",2017,"04",38.4501857630784,43.7164951509908,27.5156805459648,"G",1,1,1,0,0,0,0,0,0
"144",144,"Gokwe South",2017,"05",21.9734033745298,37.2626007488728,13.212262384365,"H",0,1,0,0,0,0,1,0,1
"145",145,"Goromonzi",2016,"10",12.5137287517526,14.0144015342214,11.7897749325132,"A",0,0,0,0,0,0,1,1,1
"146",146,"Goromonzi",2016,"11",26.9187777703371,65.4528831484775,12.4359902764681,"B",1,1,0,0,0,0,0,0,1
"147",147,"Goromonzi",2016,"12",96.9428007226584,122.492207939218,51.744410366798,"C",1,0,1,0,1,0,0,0,0
"148",148,"Goromonzi",2017,"01",122.422314560297,122.646797002265,121.57280964275,"D",0,0,0,1,1,1,0,0,0
"149",149,"Goromonzi",2017,"02",121.730247343458,122.593382028433,119.622271076557,"E",0,0,0,1,1,1,0,0,0
"150",150,"Goromonzi",2017,"03",102.059496301082,121.625833982772,83.4847373820301,"F",0,0,1,1,1,0,0,0,0
"151",151,"Goromonzi",2017,"04",63.0063411991164,72.5139332815885,50.0962414934595,"G",1,1,1,0,0,0,0,0,0
"152",152,"Goromonzi",2017,"05",46.6483066192218,61.603860481022,32.9969706093583,"H",1,1,1,0,0,0,0,0,0
"153",153,"Guruve",2016,"10",12.4681248324837,13.0433582059028,12.1349192048335,"A",0,0,0,0,0,0,1,1,1
"154",154,"Guruve",2016,"11",17.1139929441444,39.981288741123,12.1082524587511,"B",0,1,0,0,0,0,1,0,1
"155",155,"Guruve",2016,"12",87.8963402061837,130.091251032881,36.397444469038,"C",1,0,1,0,1,0,0,0,0
"156",156,"Guruve",2017,"01",138.726431556119,141.193384885707,127.944671162473,"D",0,0,0,1,1,1,0,0,0
"157",157,"Guruve",2017,"02",139.774336734542,140.831474933167,138.454472133934,"E",0,0,0,1,1,1,0,0,0
"158",158,"Guruve",2017,"03",127.643321164951,140.751880308289,107.630656425793,"F",0,0,0,1,1,1,0,0,0
"159",159,"Guruve",2017,"04",70.9451495977077,95.4606309296503,56.7534637312328,"G",1,1,1,0,0,0,0,0,0
"160",160,"Guruve",2017,"05",35.8495634899221,52.1921956505767,23.5718962722769,"H",1,1,0,0,0,0,0,0,1
"161",161,"Gutu",2016,"10",11.136076077652,16.8485370004486,8.51276992916192,"A",0,0,0,0,0,0,1,1,1
"162",162,"Gutu",2016,"11",20.1080928214748,43.7466529456673,8.48155551197278,"B",0,1,0,0,0,0,1,0,1
"163",163,"Gutu",2016,"12",61.9349953116482,89.2177028888789,23.2472792621506,"C",1,1,0,0,0,0,0,0,1
"164",164,"Gutu",2017,"01",86.403310622588,89.2552931244015,82.5048450896182,"D",1,1,1,0,0,0,0,0,0
"165",165,"Gutu",2017,"02",80.0978958551141,89.2699429318251,65.7334094563173,"E",1,1,1,0,0,0,0,0,0
"166",166,"Gutu",2017,"03",68.1015248866459,89.3428999448615,40.7579577943806,"F",1,1,1,0,0,0,0,0,0
"167",167,"Gutu",2017,"04",29.6708737635388,41.2049758561168,20.8310944037729,"G",1,1,0,0,0,0,0,0,1
"168",168,"Gutu",2017,"05",25.1009842096246,38.0825153040024,15.3255508483526,"H",1,1,0,0,0,0,0,0,1
"169",169,"Gwanda",2016,"10",13.8255146516039,17.0530877498895,12.2679106086304,"A",0,0,0,0,0,0,1,1,1
"170",170,"Gwanda",2016,"11",15.7624757110432,22.6376681667244,12.352985854575,"B",0,0,0,0,0,0,1,1,1
"171",171,"Gwanda",2016,"12",41.8400871219741,82.7034867172798,15.7771032561822,"C",1,1,0,0,0,0,0,0,1
"172",172,"Gwanda",2017,"01",77.2195332913247,84.526816105297,70.6417351615199,"D",1,1,1,0,0,0,0,0,0
"173",173,"Gwanda",2017,"02",84.82257933788,106.42362791442,54.496746457615,"E",1,0,1,0,1,0,0,0,0
"174",174,"Gwanda",2017,"03",61.8993682895971,97.6882827015297,29.8234277058135,"F",1,1,1,0,0,0,0,0,0
"175",175,"Gwanda",2017,"04",21.1225981043366,25.4747228866249,17.3798589854906,"G",0,1,0,0,0,0,1,0,1
"176",176,"Gwanda",2017,"05",18.548264046609,26.1642940480265,13.8868631145632,"H",0,1,0,0,0,0,1,0,1
"177",177,"Gweru",2016,"10",11.6162274613671,13.9490049245037,10.5839534568602,"A",0,0,0,0,0,0,1,1,1
"178",178,"Gweru",2016,"11",22.8176288438749,48.3673992392265,10.7307591775556,"B",0,1,0,0,0,0,1,0,1
"179",179,"Gweru",2016,"12",63.1384428544014,101.531564906845,29.1618155602813,"C",1,0,1,0,1,0,0,0,0
"180",180,"Gweru",2017,"01",110.834479804154,113.244293777342,106.946579994042,"D",0,0,0,1,1,1,0,0,0
"181",181,"Gweru",2017,"02",107.87331208463,113.209617921918,95.6540681139236,"E",0,0,1,1,1,0,0,0,0
"182",182,"Gweru",2017,"03",87.5870435679739,113.211852951033,53.36662583973,"F",1,0,1,0,1,0,0,0,0
"183",183,"Gweru",2017,"04",42.5975041786016,53.9849093738881,30.6222012673266,"G",1,1,1,0,0,0,0,0,0
"184",184,"Gweru",2017,"05",31.3534051062156,48.6004433499161,18.3914150272763,"H",1,1,0,0,0,0,0,0,1
"185",185,"Harare",2016,"10",15.5237739738092,16.5882076182306,14.7506052067666,"A",0,0,0,0,0,0,1,1,1
"186",186,"Harare",2016,"11",26.5797327153712,60.4660822290603,14.7269748566062,"B",1,1,0,0,0,0,0,0,1
"187",187,"Harare",2016,"12",113.386811678385,153.222049018258,54.3010241785485,"C",0,0,1,1,1,0,0,0,0
"188",188,"Harare",2017,"01",153.007759235113,153.220468755382,152.133483921542,"D",0,0,0,1,1,1,0,0,0
"189",189,"Harare",2017,"02",152.586038154718,153.187226095239,150.374976617964,"E",0,0,0,1,1,1,0,0,0
"190",190,"Harare",2017,"03",134.479455700662,152.62619210081,115.096181629703,"F",0,0,0,1,1,1,0,0,0
"191",191,"Harare",2017,"04",92.9707996559539,106.248717357905,84.2320060666666,"G",1,0,1,0,1,0,0,0,0
"192",192,"Harare",2017,"05",63.3939881361174,80.8214309680511,47.7778875623996,"H",1,1,1,0,0,0,0,0,0
"193",193,"Hurungwe",2016,"10",11.9235462052267,12.318502826207,11.7333978700078,"A",0,0,0,0,0,0,1,1,1
"194",194,"Hurungwe",2016,"11",21.5222449643168,51.7628174216178,11.7092265425921,"B",0,1,0,0,0,0,1,0,1
"195",195,"Hurungwe",2016,"12",78.0554273171451,107.328135464171,47.5832162393992,"C",1,0,1,0,1,0,0,0,0
"196",196,"Hurungwe",2017,"01",124.233060859901,133.1197668273,102.534948570289,"D",0,0,0,1,1,1,0,0,0
"197",197,"Hurungwe",2017,"02",127.943557329386,129.253678602422,126.691812897677,"E",0,0,0,1,1,1,0,0,0
"198",198,"Hurungwe",2017,"03",118.427775764505,129.53510917243,101.893745464614,"F",0,0,0,1,1,1,0,0,0
"199",199,"Hurungwe",2017,"04",71.5950014525194,92.2863504221566,58.9834096956393,"G",1,1,1,0,0,0,0,0,0
"200",200,"Hurungwe",2017,"05",38.7343689400256,55.494500721701,26.4859755066491,"H",1,1,1,0,0,0,0,0,0
"201",201,"Hwange",2016,"10",9.50611684669078,9.76994815041236,9.36520413561569,"A",0,0,0,0,0,0,1,1,1
"202",202,"Hwange",2016,"11",11.9482043357723,18.4228019744762,9.48554772532935,"B",0,0,0,0,0,0,1,1,1
"203",203,"Hwange",2016,"12",37.1675765385582,61.8686626317218,11.7776735516832,"C",1,1,0,0,0,0,0,0,1
"204",204,"Hwange",2017,"01",83.8951880880075,91.3884312125078,65.2807305278062,"D",1,1,1,0,0,0,0,0,0
"205",205,"Hwange",2017,"02",84.8945230703372,96.1158471527337,71.8632043185828,"E",1,1,1,0,0,0,0,0,0
"206",206,"Hwange",2017,"03",72.7271084764041,97.7531594232441,42.0890958110323,"F",1,1,1,0,0,0,0,0,0
"207",207,"Hwange",2017,"04",30.7385824179523,36.3968816955479,26.6680942118232,"G",1,1,1,0,0,0,0,0,0
"208",208,"Hwange",2017,"05",15.9153503680572,24.0089624312815,11.3782184677278,"H",0,0,0,0,0,0,1,1,1
"209",209,"Insiza",2016,"10",12.9226743048023,15.3102926521816,11.7537412786328,"A",0,0,0,0,0,0,1,1,1
"210",210,"Insiza",2016,"11",18.8678342885927,38.0658920994942,11.6582611680493,"B",0,1,0,0,0,0,1,0,1
"211",211,"Insiza",2016,"12",63.8436354439732,108.612982685683,21.622100314194,"C",1,0,0,0,1,0,0,0,1
"212",212,"Insiza",2017,"01",117.638684845206,125.222274443119,107.239821391016,"D",0,0,0,1,1,1,0,0,0
"213",213,"Insiza",2017,"02",119.185758530675,126.624795137838,97.3582815898857,"E",0,0,1,1,1,0,0,0,0
"214",214,"Insiza",2017,"03",100.754659359445,124.503768944165,66.6152675022684,"F",0,0,1,1,1,0,0,0,0
"215",215,"Insiza",2017,"04",51.4953236790921,58.6559131451953,38.8840931900081,"G",1,1,1,0,0,0,0,0,0
"216",216,"Insiza",2017,"05",36.1970602838616,55.0647400676606,21.4977385694762,"H",1,1,0,0,0,0,0,0,1
"217",217,"Kadoma",2016,"10",11.5672159504443,11.8750248070211,11.316515391446,"A",0,0,0,0,0,0,1,1,1
"218",218,"Kadoma",2016,"11",18.305874089553,39.0995399222227,11.6205864968378,"B",0,1,0,0,0,0,1,0,1
"219",219,"Kadoma",2016,"12",66.004607472578,113.634352137138,34.7112292360722,"C",1,0,1,0,1,0,0,0,0
"220",220,"Kadoma",2017,"01",123.528137138368,124.564774379696,119.879483427498,"D",0,0,0,1,1,1,0,0,0
"221",221,"Kadoma",2017,"02",120.336452509403,124.543734323076,112.441975495626,"E",0,0,0,1,1,1,0,0,0
"222",222,"Kadoma",2017,"03",95.8528731880681,124.119802091543,62.6745701341199,"F",1,0,1,0,1,0,0,0,0
