district_id,district_name,year,h_k3,a_k3,m0_k3,m1_k3,m2_k3,g0_edu_max_k3,g1_edu_max_k3,g2_edu_max_k3,g0_edu_dropout_k3,g1_edu_dropout_k3,g2_edu_dropout_k3,g0_hea_chronic_k3,g1_hea_chronic_k3,g2_hea_chronic_k3,g0_hea_visit_k3,g1_hea_visit_k3,g2_hea_visit_k3,g0_employment_k3,g0_assets_k3,g1_assets_k3,g2_assets_k3,g0_services_k3,g1_services_k3,g2_services_k3,g0_electricity_k3,g0_cooking_fuel_k3,g0_water_k3,g0_toilet_k3,g0_land_k3,g0_livestock_k3,g0_rural_equip_k3,rain_year,rain_season,soilmoisture_season,soilmoisture_year,maxevi_year,sum10_20,sum20p
13,Chipinge,2017,0.707836471,0.474077237,0.335569157,0.182908727,0.146621292,0.330596471,0.165298235,0.055099414,0.07190655,0.071316136,0.056041747,0.346296109,0.173148054,0.173148054,0.061290308,0.030645154,0.030645154,0,0.65326141,0.556439605,0.508028702,0.452243417,0.155771918,0.043835833,0.289961916,0.337430584,0.122317609,0.110463396,0.024656598,0,0.387482646,960.6835,1001.787,15.9531,10.37752,0.5977855,1,2
14,Chiredzi,2017,0.588383282,0.464724651,0.273436217,0.157125035,0.126007433,0.263169046,0.131584523,0.043861509,0.016872897,0.015185608,0.009111364,0.236744206,0.118372103,0.118372103,0.12244619,0.061223095,0.061223095,0.008359542,0.544435272,0.452000614,0.405783285,0.311055363,0.1224997,0.047607305,0.191222579,0.294191641,0.134202732,0.205588673,0.055227687,0,0.214128243,669.9957,699.7358,10.03214,6.380897,0.6061399,2,2
15,Chirumhanzu,2017,0.625155525,0.451668128,0.282362825,0.170742042,0.148249442,0.06111385,0.030556925,0.010185642,0.006461858,0.003877115,0.001550846,0.612629842,0.306314921,0.306314921,0.186157774,0.093078887,0.093078887,0.013202935,0.55057332,0.463844377,0.420479905,0.187519479,0.081987527,0.026450924,0.133252933,0.312577763,0.169487048,0.171600327,0.112317395,0,0.165552323,780.4515,787.9954,15.63567,9.437385,0.446772,0,2
16,Chivi,2017,0.847880855,0.490501091,0.415886483,0.252002256,0.209139244,0.151108898,0.076571565,0.026201933,0.013315388,0.015917947,0.012934742,0.540208493,0.270104246,0.270104246,0.249329963,0.124664981,0.124664981,0.004801403,0.804340777,0.689845268,0.632597514,0.700513466,0.357299523,0.160660621,0.334041992,0.417889335,0.212947554,0.176089377,0.150828144,0,0.195506813,686.3515,727.5847,14.51074,8.727686,0.535835,1,2
17,Gokwe North,2017,0.821394011,0.469661075,0.385776795,0.22888917,0.183833266,0.206856631,0.103428316,0.034476107,0.048936317,0.062035216,0.055327425,0.342663163,0.171331581,0.171331581,0.257810514,0.128905257,0.128905257,0,0.689221606,0.583256273,0.530273606,0.596537434,0.277247719,0.117363585,0.312685868,0.403459571,0.304093035,0.276073388,0.048021458,0,0.17852056,891.4336,877.341,14.96106,9.534225,0.5622579,2,1
18,Gokwe South,2017,0.77621819,0.463178609,0.359527661,0.199043844,0.147662549,0.19812411,0.099062055,0.033020687,0.01398222,0.012005424,0.010211842,0.408262382,0.204131191,0.204131191,0.187499488,0.093749744,0.093749744,0,0.647184603,0.453129889,0.356102532,0.724337964,0.364422308,0.166612642,0.230044438,0.384027135,0.241720724,0.230751515,0.038926718,0,0.110651475,840.1716,815.2762,15.97827,9.652163,0.4968709,3,1
19,Goromonzi,2017,0.559505185,0.466812126,0.261183804,0.138140798,0.115733409,0.064467681,0.032233841,0.010744614,0.017073581,0.020590264,0.018582221,0.360030181,0.180015091,0.180015091,0.266342995,0.133171497,0.133171497,0.044824866,0.477330398,0.37190468,0.319191821,0.381246529,0.136839741,0.041712015,0.196484847,0.219855201,0.076840905,0.063589693,0.021200088,0,0.291959182,976.4844,982.4808,17.90042,11.56468,0.5100578,2,1
20,Guruve,2017,0.763369929,0.473284307,0.361291007,0.202164981,0.159822865,0.22321787,0.113336888,0.039506917,0.014611687,0.013797182,0.010572271,0.475874576,0.237937288,0.237937288,0.145590474,0.072795237,0.072795237,0,0.67481566,0.530700991,0.458643657,0.634962741,0.310500117,0.137478015,0.23968671,0.380567804,0.174602923,0.131881571,0.045180992,0,0.291271567,860.5595,845.7922,16.53321,9.745328,0.5334868,1,1
21,Gutu,2017,0.766767964,0.453155975,0.347465484,0.202003654,0.162399702,0.191795049,0.095897524,0.031965843,0.012704427,0.013012689,0.009070576,0.415003715,0.207501857,0.207501857,0.09861809,0.049309045,0.049309045,0,0.704197667,0.594639772,0.539860825,0.590278308,0.219302565,0.070013738,0.281439516,0.372873977,0.188837836,0.162948296,0.15649271,0,0.125732519,758.4276,762.1902,15.39498,9.321166,0.4723184,0,2
22,Gwanda,2017,0.66417857,0.461634306,0.306607615,0.185242359,0.150669188,0.150526779,0.075263389,0.025087798,0.017154021,0.019300704,0.015185383,0.450779933,0.225389967,0.225389967,0.172130714,0.086065357,0.086065357,0.006067288,0.609799377,0.484176941,0.421365723,0.567149463,0.412011749,0.260290191,0.305245002,0.306767352,0.142729106,0.110765647,0.004474906,0,0.069182744,617.3961,533.9383,9.321392,6.002038,0.5170912,2,2
23,Gweru,2017,0.562224867,0.485712142,0.273079444,0.157042318,0.131404279,0.061802458,0.030901229,0.01030041,0.032346931,0.046614891,0.045090488,0.582296916,0.291148458,0.291148458,0.207857591,0.103928796,0.103928796,0.154760989,0.407033078,0.320552506,0.27731222,0.5273175,0.267770313,0.130466848,0.175592396,0.177016983,0.066207475,0.092478789,0.013975866,0,0.095567762,871.2165,859.733,15.44889,9.401968,0.4629017,0,2
24,Harare,2017,0.381842502,0.493161089,0.188309862,0.116359583,0.102683296,0.017870935,0.008935468,0.002978489,0.019435201,0.022310613,0.018205299,0.478222892,0.239111446,0.239111446,0.252700065,0.126350032,0.126350032,0.357456284,0.223223908,0.153825731,0.119126643,0.19402142,0.118435287,0.066457353,0.103575146,0.034083072,0.091306603,0.005224575,0,0,0.011823605,902.8173,918.5535,18.3827,11.71245,0.4764062,2,1
