"District","Year","AveragePRECIP","MaxPRECIP","MinPRECIP"
"Bikita","2011",16.8251551251615,64.8771179391473,0.036129268131438
"Bikita","2012",8.88179406239143,21.3196889388795,2.64530632871445e-05
"Bikita","2013",17.8240049498431,76.4365107987441,0.352417896594667
"Bikita","2014",22.5573534200973,75.0023673397653,0.26605267028362
"Bikita","2015",9.57949842524656,29.5913388078411,0.0290803130016515
"Bikita","2016",14.3704472164139,56.5553463878585,0.216311164551046
"Bikita","2017",23.0085581017225,79.0233247329207,0.12766665121941
"Bikita","2018",14.2247748711597,87.6689100160318,0.0473014680110032
"Bikita","2019",10.9662107987702,41.0446133128568,0.000455965346961474
"Bindura","2000",9.58832011137714,30.2630648497273,0.0389626029777847
"Bindura","2001",12.668031978537,49.0650502750686,0.00264095773221496
"Bindura","2002",5.62538369819258,15.4090483575475,0.0332906261125269
"Bindura","2003",7.98674770715332,22.8132074719551,0.0216080608898968
"Bindura","2004",10.3759529349736,33.6739296195554,0.0121651646510073
"Bindura","2005",7.97163945095164,32.786182897348,0.00432487144117105
"Bindura","2006",8.71866811238439,26.8623076996383,0.00329202567797848
"Bindura","2007",10.4792470696563,36.3351727961325,0.0110149626386855
"Bindura","2008",10.0591917543971,38.3603781085388,0.00883607123193774
"Bindura","2009",7.92716222177014,27.7662493345784,0.156258074249433
"Bindura","2010",8.3605552652306,24.3191990290787,4.15109434934315e-05
"Bindura","2011",9.8776819225333,36.932971275554,0
"Bindura","2012",8.30802152436236,28.9075550192127,0
"Bindura","2013",9.93282766513991,34.4608561960505,0.0010075207457703
"Bindura","2014",9.90242193462037,35.714560653766,0.00625926271719329
"Bindura","2015",8.06336698378731,37.6762369416508,0
"Bindura","2016",7.8761377068676,28.6528821500493,0
"Bindura","2017",10.5093421117407,47.5829916346307,0
"Bindura","2018",7.63756373268678,39.9538129885991,0.000290778989095569
"Bindura","2019",7.35538047561477,27.3550381753959,0.0221724257636108
"Binga","2000",39.4422537097103,111.15315175296,0.0683974599329125
"Binga","2001",61.7090542898605,351.898485275694,0.269741082154716
"Binga","2002",35.7858798054095,100.450667201684,0.200136127621662
"Binga","2003",39.4179140278367,111.097644613303,0.0649783260235541
"Binga","2004",48.5259741000557,144.431475690241,0.0610050792106289
"Binga","2005",33.3291800590679,162.887763634324,0.026733613539647
"Binga","2006",54.8383728466131,190.013308487219,0.12039672814517
"Binga","2007",47.9639970463771,194.80125945304,0.239956079888832
"Binga","2008",67.1023965818026,262.484597371022,0.391505344172694
"Binga","2009",39.9497297320606,94.1643802157804,0.639085691268009
"Binga","2010",53.4011914846201,156.48199108243,0.338027374103794
"Binga","2011",50.2558218495549,148.705708707606,0.287827933215856
"Binga","2012",45.5252941994352,133.896931391604,0.134224447478739
"Binga","2013",54.5558773760549,194.970639661948,0.114389992596607
"Binga","2014",48.2985064044393,177.200038605695,0.0560798955428004
"Binga","2015",30.361210577227,107.516377110692,0.030191233084506
"Binga","2016",36.5350683450817,127.272256545693,0.089084936826354
"Binga","2017",56.2076297545025,194.250842179504,0.112852217307527
"Binga","2018",49.5555522876811,231.095936734127,0.0830151289596745
"Binga","2019",36.3836589649825,95.0298748407002,0.0936869047018905
"Bubi","2000",16.3119910221212,55.9065818104674,0.0321770984383999
"Bubi","2001",24.2081708776536,103.741297970215,0.0925931819710896
"Bubi","2002",10.0038672392761,38.8949230556687,0.0519206183757014
"Bubi","2003",14.2241701943398,43.5599836281117,0.0303439128662465
"Bubi","2004",16.7532545037403,48.2077672627627,0.0203459019108314
"Bubi","2005",16.7384020803906,78.298981914567,0.0146519274529661
"Bubi","2006",21.9143012571454,64.4164125945054,0.0100294894264023
"Bubi","2007",16.1019880650785,72.390411458179,0.0261065958954621
"Bubi","2008",20.8573967963311,85.1595550114033,0.0140791022967189
"Bubi","2009",20.7372555842919,67.7296689050454,0.000918209577296283
"Bubi","2010",16.4158551900356,47.1893238506481,0.00351719517830311
"Bubi","2011",19.2484389624851,89.5048559627113,0.000287656068501426
"Bubi","2012",13.5545138297141,47.0821785695413,0.000466382432572501
"Bubi","2013",16.0394868752694,76.7091968434698,0.000309867599428924
"Bubi","2014",20.5831990077537,70.0069629676786,2.61217872802637e-06
"Bubi","2015",11.9943588828669,30.0734904595158,0.0017601131974801
"Bubi","2016",15.8492568825527,44.7794112276213,0.0264268889007023
"Bubi","2017",23.6239415060186,92.9771497588532,0.00333241255272304
"Bubi","2018",15.7465052212166,76.8191948146797,0
"Bubi","2019",12.1015495523557,43.2600379956411,0.0240999723720283
"Buhera","2000",19.7825807714438,42.4579271569556,3.67136580489494
"Buhera","2001",32.8500974076347,124.9781005171,0.0694200448818176
"Buhera","2002",13.4663575262134,34.1576356987158,3.00974629750913
"Buhera","2003",19.2607401422648,66.7281414340524,0.750034255954333
"Buhera","2004",24.4586887413082,70.1198557289207,3.08631323134417
"Buhera","2005",17.1756874460388,113.455497629035,0.0128936715538996
"Buhera","2006",16.2114015249263,51.2566855672528,0.0385046535595143
"Buhera","2007",26.1365590360884,126.321612906222,0.82010959653411
"Buhera","2008",14.7855936859058,55.0079645596299,0.207481897274738
"Buhera","2009",14.4157196418057,33.6895051926082,0.417541170986506
"Buhera","2010",17.7867544228984,58.5729931511715,0.048607429777336
"Buhera","2011",19.8405547590551,81.9613467107801,0.0487654367675518
"Buhera","2012",11.389446397353,36.338053344044,0.000323023807618037
"Buhera","2013",19.9289515919633,77.291487374259,0.0159336286012951
"Buhera","2014",21.5866580914993,81.5267631600885,0.0189055595943822
"Buhera","2015",12.4727188196346,46.6385538242903,0.00157328172049436
"Buhera","2016",15.8754990055852,60.4919360735253,0.00388638155463566
"Buhera","2017",23.7757926058498,77.9082019449449,0.0583486162725261
"Buhera","2018",15.7746103468559,100.810652009295,0.0178197984135848
"Buhera","2019",12.4187594148632,43.7805460741999,0.0021911122695504
"Bulawayo","2000",1.3228463357125,3.92504938776587,0.0039695346189261
"Bulawayo","2001",1.77478978951218,8.03805841978859,0.00754513436889586
"Bulawayo","2002",0.779132695270071,2.79004738511992,0.00614733831836002
"Bulawayo","2003",1.05720203818492,3.13211448128317,0.00680230790258421
